LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_USRACT_TURBO,"Turbo","Turbo","Schnell bewegen","Turbo","Турбо","Turbo","Turbo","Turbo"
STR_USRACT_INGAME_PAUSE,"Pause","Pauza","Pause","Pauza","Пауза","Pause","Pausa","Pausa"
STR_USRACT_MENU_UP,"Next","Další","Nächstes","Następny","Вперед","Suiv.","Siguiente","Succ."
STR_USRACT_MENU_DOWN,"Previous","Předchozí","Vorheriges","Poprzedni","Назад","Préc.","Anterior","Prec."
STR_USRACT_MENU_SELECT,"Select","Vybrat","Auswählen","Wybierz","Выбор","Sélectionner","Seleccionar","Selez."
STR_USRACT_MENU_BACK,"Back","Zpět","Zurück","Powrót","Назад","Retour","Atrás","Indietro"
STR_USRACT_FORCE_COMMANDING_MODE,"Commanding mode","Velitelský režim","Befehlsmodus","Tryb dowodzenia","Командный режим","Mode commandement","Modo de comandancia","Modalità di comando"
STR_USRACT_CHEAT_1,"Cheat 1","Cheat 1","Cheat 1","Cheat 1","Чит-код 1","Triche 1","Truco 1","Trucco 1"
STR_USRACT_CHEAT_2,"Cheat 2","Cheat 2","Cheat 2","Cheat 2","Чит-код 2","Triche 2","Truco 2","Trucco 2"
STR_USRACT_COMMAND_LEFT,"Command left","Příkaz: doleva","Befehl links","Rozkaz: w lewo","Налево","Ordre G","Orden izquierda","Comando a sinistra"
STR_USRACT_COMMAND_RIGHT,"Command right","Příkaz: doprava","Befehl rechts","Rozkaz: w prawo","Направо","Ordre D","Orden derecha","Comando a destra"
STR_USRACT_COMMAND_FORWARD,"Command forward","Příkaz: dopředu","Befehl vorwärts","Rozkaz: naprzód","Вперед","Ordre en avant","Orden avance","Comando in avanti"
STR_USRACT_COMMAND_BACK,"Command back","Příkaz: zpět","Befehl zurück","Rozkaz: do tyłu","Назад","Ordre en arrière","Orden atrás","Comando indietro"
STR_USRACT_COMMAND_FAST,"Command fast","Příkaz: rychle","Befehl schnell","Rozkaz: szybko","Быстро","Ordre vitesse","Orden rápido","Comando velocità"
STR_USRACT_COMMAND_SLOW,"Command slow","Příkaz: pomalu","Befehl langsam","Rozkaz: wolno","Медленно","Ordre lenteur","Orden lento","Comando lentezza"
STR_USRACT_PUSH_TO_TALK,"Push to Talk","Držet a mluvit","Push to Talk","Naciśnij, aby mówić","Разговор","Appuyer pour parler","Pulsar para hablar","Premi per parlare"
STR_USRACT_PUSH_TO_TALK_ALL,"Talk on Global channel","Mluvit na hlavním kanálu","Im globalen Channel sprechen","Rozmawiaj na kanale ogólnym","Разговор по глобальному каналу","Parler sur canal global","Hablar por canal global","Parla sul canale globale"
STR_USRACT_PUSH_TO_TALK_SIDE,"Talk on Side channel","Mluvit na kanálu strany","Im Seiten-Channel sprechen","Rozmawiaj na kanale strony","Разговор по доп. каналу","Parler sur canal camp","Hablar por canal del bando","Parla sul canale fazione"
STR_USRACT_PUSH_TO_TALK_GROUP,"Talk on Group channel","Mluvit na kanálu skupiny","Im Gruppen-Channel sprechen","Rozmawiaj na kanale grupy","Разговор по групповому каналу","Parler sur canal groupe","Hablar por canal de grupo","Parla sul canale gruppo"
STR_USRACT_PUSH_TO_TALK_VEHICLE,"Talk on Vehicle channel","Mluvit na kanálu vozidla","Im Fahrzeug-Channel sprechen","Rozmawiaj na kanale pojazdu","Разговор по каналу транспорта","Parler sur canal véhicule","Hablar por canal del vehículo","Parla sul canale veicolo"
STR_USRACT_PUSH_TO_TALK_DIRECT,"Talk on Direct channel","Mluvit přímo","Im Direkt-Channel sprechen","Rozmawiaj na kanale bezpośrednim","Разговор по прямому каналу","Parler sur canal direct","Hablar por canal directo","Usa la comunicazione diretta"
STR_USRACT_WALK_RUN_TOGGLE,"Walk or run toggle","Přepínání běhu a chůze","Gehen/rennen (umschalten)","Włączenie biegu/marszu","Переключение бег/ходьба","Bascule marche/course","Caminar o correr","Cammina/corri"
STR_USRACT_WALK_RUN_TEMP,"Walk or run temporary","Dočasná chůze nebo běh","Gehen/rennen (vorübergehend)","Czasowy bieg/marsz","Идти/бежать","Marche/course temporaire","Caminar o correr temporalmente","Cammina/corri temporaneo"
STR_USRACT_WALK,"Walk","Chůze","Gehen","Marsz","Идти","Marcher","Caminar","Cammina"
STR_USRACT_TURN,"Turn","Otočit","Abbiegen","Skręt","Повернуть","Tourner","Girar","Gira"
STR_USRACT_ACCELERATE,"Dive (Air)/Forward (Land)","Dolů (Letadla)/Dopředu (Pozemní)","Sinkflug (Luft)/Vorwärts (Land)","Nurkowanie (W powietrzu)/Do przodu (Na ziemi)","Вниз (в воздухе)/Вперед (на земле)","Piquer (air)/Avancer (terre)","Bajar picado (aire)/Adelante (tierra)","Lanciati in picchiata (aria)/Avanza (terra)"
STR_USRACT_THRUST,"Thrust (Air)","Výkon (Letecký)","Schub (Luft)","Przyspieszenie (W powietrzu)","Тяга (в воздухе)","Gaz (air)","Propulsión (aire)","Spinta (aria)"
STR_USRACT_RUDDER,"Rudder (Air)","Směrovka (Letecký)","Seitenruder (Luft)","Ster (W powietrzu)","Руль (в воздухе)","Palonnier (air)","Timón (aire)","Timone (aria)"
STR_USRACT_AIM_UP,"Aim Up","Zamířit nahoru","Zielen: Hoch","Celowanie w górę","Прицел вверх","Visée haut","Apuntar arriba","Mira su"
STR_USRACT_AIM_DOWN,"Aim Down","Zamířit dolů","Zielen: Tief","Celowanie w dół","Прицел вниз","Visée bas","Apuntar abajo","Mira giù"
STR_USRACT_AIM_LEFT,"Aim Left","Zamířit doleva","Zielen: Links","Celowanie w lewo","Прицел влево","Visée G","Apuntar izquierda","Mira a sinistra"
STR_USRACT_AIM_RIGHT,"Aim Right","Zamířit doprava","Zielen: Rechts","Celowanie w prawo","Прицел вправо","Visée D","Apuntar derecha","Mira a destra"
STR_USRACT_HELI_UP,"Increase thrust","Zvýšit výkon","Flugsteuerung: Schub erhöhen","Śmigłowiec w górę","Увеличить тягу","Augmenter gaz","Aumentar propulsión","Aumenta spinta"
STR_USRACT_HELI_DOWN,"Decrease thrust","Snížit výkon","Flugsteuerung: Schub reduzieren","Śmigłowiec w dół","Уменьшить тягу","Réduire gaz","Reducir propulsión","Diminuisci spinta"
STR_USRACT_HELI_CYCLIC_LEFT,"Bank left","Náklon doleva","Flugsteuerung: nach links rollen","Obrót śmigłowca w lewo","Крен влево","Inclinaison G","Ladearse izquierda","Vira a sinistra"
STR_USRACT_HELI_CYCLIC_RIGHT,"Bank right","Náklon doprava","Flugsteuerung: nach rechts rollen","Obrót śmigłowca w prawo","Крен вправо","Inclinaison D","Ladearse derecha","Vira a destra"
STR_USRACT_HELI_RUDDER_LEFT,"Left pedal","Otáčení doleva","Flugsteuerung: Seitenruder links","Ster śmigłowca w lewo","Поворот влево","Pédale G","Pedal izquierdo","Pedale sinistro"
STR_USRACT_HELI_RUDDER_RIGHT,"Right pedal","Otáčení doprava","Flugsteuerung: Seitenruder rechts","Ster śmigłowca w prawo","Поворот вправо","Pédale D","Pedal derecho","Pedale destro"
STR_USRACT_HELI_FORWARD,"Nose down","Předek dolů","Flugsteuerung: Nase senken","Śmigłowiec do przodu","Опустить нос","Nez bas","Morro abajo","Muso giù"
STR_USRACT_HELI_BACK,"Nose up","Předek nahoru","Flugsteuerung: Nase hochziehen","Śmigłowiec do tyłu","Поднять нос","Nez haut","Morro arriba","Muso su"
STR_USRACT_HELI_FAST_FORWARD,"Fast forward","Rychle dopředu","Hubschrauber: schnell vorwärts","Śmigłowiec szybko do przodu","Полная тяга","Avant rapide","Adelante rápido","Avanti veloce"
STR_USRACT_CAR_LEFT,"Car left","Vůz vlevo","Fahrzeug: nach links lenken","Samochód w lewo","Налево (машина)","Voiture G","Coche izquierda","Macchina a sinistra"
STR_USRACT_CAR_RIGHT,"Car right","Vůz vpravo","Fahrzeug: nach rechts lenken","Samochód w prawo","Направо (машина)","Voiture D","Coche derecha","Macchina a destra"
STR_USRACT_CAR_FORWARD,"Car forward","Vůz dopředu","Fahrzeug: vorwärts","Samochód do przodu","Вперед (машина)","Voiture avant","Coche adelante","Macchina avanti"
STR_USRACT_CAR_BACK,"Car back","Vůz dozadu","Fahrzeug: rückwärts","Samochód do tyłu","Назад (машина)","Voiture arrière","Coche atrás","Macchina indietro"
STR_USRACT_CAR_FAST_FORWARD,"Car fast forward","Vůz rychle dopředu","Fahrzeug: schnell vorwärts","Samochód szybko do przodu","Полный газ (машина)","Voiture avant rapide","Coche adelante rápido","Macchina avanti veloce"
STR_USRACT_CAR_SLOW_FORWARD,"Car slow forward","Vůz pomalu dopředu","Fahrzeug: langsam vorwärts","Samochód powoli do przodu","Медленно вперед (машина)","Voiture avant lent","Coche adelante lento","Macchina avanti lentam."
STR_USRACT_VEH_LOCK_TARGETS,"Next target","Další cíl","Nächstes Ziel","Następny cel","Следующая цель","Cible suiv.","Objetivo siguiente","Obiettivo succ."
STR_USRACT_SWAP_GUNNER,"Swap gunner","Prohodit se střelcem","Zum Schützen wechseln","Zmiana strzelca","Сменить стрелка","Échanger tireur","Cambiar artillero","Cambia artigliere"
STR_USRACT_HELI_MANUAL_FIRE,"Toggle manual fire","Přepnout na ruční střelbu","Manuelles Feuern","Ogień ręczny","Ручное управление огнем","Tir manuel","Cambio fuego manual","Fuoco manuale sì/no"
STR_USRACT_TURN_IN,"Turn in","Dovnitř","Luke schliessen","Obrót do wewnątrz","Забраться внутрь","Rentrer","Meterse","Rientra"
STR_USRACT_TURN_OUT,"Turn out","Ven","Luke öffnen","Obrót na zewnątrz","Вылезти","S'exposer","Asomarse","Sporgiti"
STR_USRACT_CANCEL_ACTION,"Cancel action","Zrušit akci","Aktion abbrechen","Anuluj akcję","Отмена действия","Annuler action","Cancelar acción","Annulla azione"
STR_USRACT_DIARY,"Diary","Diář","Tagebuch","Pamiętnik","Дневник","Journal","Diario","Diario"
STR_DIFF_3RD_PERSON_VIEW,"3rd person view","Zobrazení z třetího pohledu","Beobachterperspektive","Widok z 3-ciej osoby","Вид от третьего лица","Vue extérieure","Vista 3ª persona","Visuale in 3ª persona"
STR_DIFF_ARMOR,"Extended armor","Zvýšená odolnost","Verstärkte Panzerung","Grubszy pancerz","Дополнительная броня","Blindage étendu","Blindaje extra","Ultra blindato"
STR_DIFF_AUTO_GUIDE_AT,"Auto guide AT","Samonavádění AT raket","Automatisch gelenkte Panzerabwehr","Samoczynne naprowadzanie p.panc.","Автонаведение противотанковых средств","Autoguidage antichar","Antitanque guía automático","Guida autom. AC"
STR_DIFF_AUTO_SPOT,"Auto report","Automatická detekce","Automatische Meldung","Automatyczny raport","Автоотчет","CR auto.","Informe automático","Rapporto autom."
STR_DIFF_CLOCK_INDICATOR,"Clock indicator","Indikátor hodin","Uhranzeige","Wskaźnik zegara","Индикатор часов","Indicateur horloge","Indicador del reloj","Indicatore orologio"
STR_DIFF_ENEMY_TAG,"Enemy TAG","Info o nepřátelích","Gegner Markierung","Informacje o nieprzyjacielu","Указатели на противниках","Étiq. ennemi","PLACA enemigo","Insegna nemica"
STR_DIFF_FRIENDLY_TAG,"Friendly TAG","Info o přátelích","Eigene Markierung","Informacje o przyjacielu","Указатели на своих","Étiq. ami","PLACA amigo","Insegna amica"
STR_DIFF_HUD,"Extended HUD info","Podrobné informace na displeji","Erweiterte HUD-Informationen","Rozszerzony HUD","Дополнительная информация на экране","Infos HUD étendues","Información pantalla ampliada","Info HUD avanzate"
STR_DIFF_HUD_PERM,"Permanent extended HUD info","Trvale zapnute informace na displeji","Ständig erweiterte HUD-Informationen","HUD rozszerzony na stałe","Постоянное отображение дополнит. информации","Infos HUD étendues perm.","Información pantalla ampliada permanente","Info HUD avanzate permanenti"
STR_DIFF_HUD_WP,"HUD waypoints info","Informace o trase na displeji","HUD-Wegpunkte-Info","Informacje o punktach nawigacyjnych na HUD","Информация о маршруте на экране","Infos points passage HUD","Información referencia en pantalla","Info HUD punti di passaggio"
STR_DIFF_HUD_WP_PERM,"HUD waypoints info permanently","Trvale informace o trase na displeji","Ständige HUD-Wegpunkte-Info","Informacje o punktach nawigacyjnych stale na HUD","Постоянное отображение информации о маршруте","Infos points passage HUD perm.","Información referencia en pantalla permanente","Info HUD punti di passaggio permanenti"
STR_DIFF_MAP,"Extended map info","Podrobné informace o mapě","Erweitere Karteninformationen","Rozszerzone informacje mapy","Дополнительная информация на карте","Infos carte étendues","Información mapa ampliada","Info mappa avanzate"
STR_DIFF_TRACERS,"Rifle bullet tracers","Stopy kulek","Leuchtspur","Karabiny z pociskami smugowymi","Трассирующие пули","Balles fusil traçantes","Balas trazadoras de rifle","Traccianti pallottola fucile"
STR_DIFF_WEAPON_CURSOR,"Weapon crosshair","Zaměřovací kříž zbraně","Fadenkreuz","Celownik broni","Перекрестье прицела","Réticule arme","Visor del arma","Reticolo arma"
STR_DIFF_CADET,"Difficulty: Cadet","Obtížnost: Kadet","Schwierigkeit: Kadett","Poziom trudności: Kadet","Сложность: Новичок","Difficulté : aspirant","Dificultad: cadete","Difficoltà: Cadetto"
STR_DIFF_VETERAN,"Difficulty: Veteran","Obtížnost: Veterán","Schwierigkeit: Veteran","Poziom trudności: Weteran","Сложность: Ветеран","Difficulté : vétéran","Dificultad: veterano","Difficoltà: Veterano"
STR_AUTO_AIM,"Auto Aim","Automatické zaměřování","Automatisches Zielen","Automatyczne celowanie","Автоприцел","Visée auto.","Apuntar automáticamente","Mira autom."
STR_ULTRA_AI,"Super AI","Super AI","Super KI","Super SI","Супер ИИ","Super IA","Súper IA","Super IA"
STR_MORE_MENU,"More","Další","Mehr","Więcej","Другие","Plus","Más","Altri"
STR_MENU_BACKSPACE,"Backspace","Backspace","Rücktaste","Backspace","Назад","Retour arr.","Atrás","Indietro"
STR_MENU_TARGET,"Target","Cíl","Ziel","Cel","Цель","Cible","Objetivo","Obiettivo"
STR_TARGET_MENU,"%s at %d o'clock","%s na %d hodině","%s auf %d Uhr","%s na %d","%s на %d часов","%s à %d h","%s en %d en punto","%s a ore %d"
STR_TARGET_MENU_SENSOR,"%s, %d at %d o'clock","%s, %d na %d hodině","%s, %d auf %d Uhr","%s, %d na %d","%s, %d на %d часов","%s, %d à %d h","%s, %d en %d en punto","%s, %d a ore %d"
STR_TARGET_MENU_GROUP,"%s, %s (%d)","%s, %s (%d)","%s, %s (%d)","%s, %s (%d)","%s, %s (%d)","%s, %s (%d)","%s, %s (%d)","%s, %s (%d)"
STR_WATCH_AUTO,"No target","Žádné cíle","Kein Ziel","Brak celu","Нет цели","Pas de cible","Sin objetivo","Nessun obiettivo"
STR_GETIN_POS,"Where","Kam","Wo","Gdzie","Где","Où","Dónde","Dove"
STR_GETIN_POS_ANY,"Anywhere","Kamkoliv","Überall","Gdziekolwiek","Где угодно","N'importe où","En cualquier lugar","Ovunque"
STR_GETIN_POS_DRIVER,"Driver","Řidič","Fahrer","Kierowca","Водитель","Conducteur","Conductar","Guidatore"
STR_GETIN_POS_PILOT,"Pilot","Pilot","Pilot","Pilot","Пилот","Pilote","Piloto","Pilota"
STR_GETIN_POS_COMM,"Commander","Velitel","Kommandant","Dowódca","Командир","Chef de bord","Oficial al mando","Comandante"
STR_GETIN_POS_GUNN,"Gunner","Střelec","Schütze","Strzelec","Стрелок","Tireur","Artillero","Artigliere"
STR_GETIN_POS_CARGO,"Ride in back","Pasažér","Hinten mitfahren","Jazda z tyłu","Ехать сзади","Place arrière","Montar atrás","Viaggia dietro"
STR_CURRENCY_NONE,"NOTHING","NIC","NICHTS","BRAK","НИЧЕГО","NÉANT","NADA","NIENTE"
STR_CURRENCY_LOT,"UNLIMITED","NEOMEZENÝ","UNBEGRENZT","NIESKOŃCZONY","БЕСКОНЕЧНЫЕ","ILLIMITÉ","ILIMITADA","SENZA LIMITI"
STR_CURRENCY_BLANK,".",".",".",".",".",".",".","."
STR_CURRENCY_FORMAT,"$%s","$%s","%s US$","$%s","$%s","%s $","$%s","%s $"
STR_NEW_GAME,"*** New Game ***","*** Nová hra ***","*** Neues Spiel ***","*** Nowa gra ***","*** Новая игра ***","*** Nouvelle partie ***","*** Nueva partida ***","*** Nuova partita ***"
STR_PLAY_WEST,"Play BLUFOR","Hrát za BLUFOR","Westen spielen","Graj Zachodem","Играть за Запад","Jouer ouest","Jugar como oeste","Gioca con Ovest"
STR_PLAY_EAST,"Play OPFOR","Hrát za OPFOR","Osten spielen","Graj Wschodem","Играть за Восток","Jouer est","Jugar como este","Gioca con Est"
STR_PLAY_GUERRILA,"Play Independents","Hrát za nezávislé","Widerstand spielen","Graj Ruchem oporu","Играть за Сопротивление","Jouer résistance","Jugar como resistencia","Gioca con resistenza"
STR_ARCUNIT_TITLE2,"Insert unit","Vlož jednotku","Einheit hinzufügen","Wstaw jednostkę","Поставить объект","Insérer unité","Insertar unidad","Inserisci unità"
STR_ARCUNIT_TITLE4,"Edit unit","Uprav jednotku","Einheit bearbeiten","Edytuj jednostkę","Изменить объект","Modifier unité","Editar unidad","Modifica unità"
STR_ARCWP_TITLE1,"Insert waypoint","Vlož bod trasy","Wegpunkt hinzufügen","Wstaw punkt nawigacyjny","Поставить точку маршрута","Insérer point passage","Insertar punto de referencia","Inserisci punto di passaggio"
STR_ARCWP_TITLE2,"Edit waypoint","Uprav bod trasy","Wegpunkt bearbeiten","Edytuj punkt nawigacyjny","Изменить точку маршрута","Modifier point passage","Editar punto de referencia","Modifica punto di passaggio"
STR_ARCSENS_TITLE1,"Insert trigger","Vlož spínač","Auslöser hinzufügen","Wstaw wyzwalacz","Поставить триггер","Insérer déclencheur","Insertar activador","Inserisci attivatore"
STR_ARCSENS_TITLE2,"Edit trigger","Uprav spínač","Auslöser bearbeiten","Edytuj wyzwalacz","Изменить триггер","Modifier déclencheur","Editar activador","Modifica attivatore"
STR_ARCMARK_TITLE1,"Insert marker","Vlož značku","Markierung hinzufügen","Wstaw znacznik","Поставить маркер","Insérer marqueur","Insertar marcador","Inserisci segnalatore"
STR_ARCMARK_TITLE2,"Edit marker","Uprav značku","Markierung bearbeiten","Edytuj znacznik","Изменить маркер","Modifier marqueur","Editar marcador","Modifica segnalatore"
STR_ARCMARK_TYPE1,"Icon:","Ikona:","Symbol:","Ikona:","Иконка:","Icône :","Icono:","Icona:"
STR_ARCMARK_TYPE2,"Fill:","Výplň:","Schraffur:","Wypełnienie:","Заполнить:","Remplir :","Llenar:","Riempi:"
STR_MAIN_PLAYER,"Player: %s","Hráč: %s","Spieler: %s","GRACZ: %s","ИГРОК: %s","Joueur : %s","Jugador: %s","Giocatore: %s"
STR_NONPLAYABLE,"Non Playable","Nehratelné","Nicht spielbar","Niegrywalne","Не играет","Non jouable","No disponible","Non utilizzabile"
STR_PLAYER,"Player","Hráč","Spieler","Gracz","Игрок","Joueur","Jugador","Giocatore"
STR_PLAYER_COMMANDER,"Player as commander","Hráč jako velitel","Spieler als Kommandant","Gracz jako dowódca","Игрок - командир","Joueur chef de bord","Jugador oficial al mando","Giocatore comandante"
STR_PLAYER_DRIVER,"Player as driver","Hráč jako řidič","Spieler als Fahrer","Gracz jako kierowca","Игрок - водитель","Joueur conducteur","Jugador conductor","Giocatore guidatore"
STR_PLAYER_PILOT,"Player as pilot","Hráč jako pilot","Spieler als Pilot","Gracz jako pilot","Игрок - пилот","Joueur pilote","Jugador piloto","Giocatore pilota"
STR_PLAYER_GUNNER,"Player as gunner","Hráč jako střelec","Spieler als Schütze","Gracz jako strzelec","Игрок - стрелок","Joueur tireur","Jugador artillero","Giocatore artigliere"
STR_PLAYABLE,"Playable","Hratelné","Spielbar","Grywalny","Играет","Jouable","Disponible","Utilizzabile"
STR_PLAYABLE_C,"Playable as commander","Hratelné jako velitel","Als Kommandant spielbar","Można grać jako dowódca","Играть за командира","Jouable comme chef de bord","Disponible de oficial","Utilizzabile come comandante"
STR_PLAYABLE_D,"Playable as driver","Hratelné jako řidič","Als Fahrer spielbar","Można grać jako kierowca","Играть за водителя","Jouable comme conducteur","Disponible de conductor","Utilizzabile come guidatore"
STR_PLAYABLE_P,"Playable as pilot","Hratelné jako pilot","Als Pilot spielbar","Można grać jako pilot","Играть за пилота","Jouable comme pilote","Disponible de piloto","Utilizzabile come pilota"
STR_PLAYABLE_G,"Playable as gunner","Hratelné jako střelec","Als Schütze spielbar","Można grać jako strzelec","Играть за стрелка","Jouable comme tireur","Disponible de artillero","Utilizzabile come artigliere"
STR_PLAYABLE_CD,"Playable as commander, driver","Hratelné jako velitel a řidič","Als Kommandant, Fahrer spielbar","Można grać jako dowódca, kierowca","Играть за командира, водителя","Jouable comme chef de bord, conducteur","Disponible de oficial, conductor","Utilizzabile come comandante, guidatore"
STR_PLAYABLE_CP,"Playable as commander, pilot","Hratelné jako velitel a pilot","Als Kommandant, Pilot spielbar","Można grać jako dowódca, pilot","Играть за командира, пилота","Jouable comme chef de bord, pilote","Disponible de oficial, piloto","Utilizzabile come comandante, pilota"
STR_PLAYABLE_CG,"Playable as commander, gunner","Hratelné jako velitel a střelec","Als Kommandant, Schütze spielbar","Można grać jako dowódca, strzelec","Играть за командира, стрелка","Jouable comme chef de bord, tireur","Disponible de oficial, artillero","Utilizzabile come comandante, artigliere"
STR_PLAYABLE_DG,"Playable as driver, gunner","Hratelné jako řidič a střelec","Als Fahrer, Schütze spielbar","Można grać jako kierowca, strzelec","Играть за водителя, стрелка","Jouable comme conducteur, tireur","Disponible de conductor, artillero","Utilizzabile come guidatore, artigliere"
STR_PLAYABLE_PG,"Playable as pilot, gunner","Hratelné jako pilot a střelec","Als Pilot, Schütze spielbar","Można grać jako pilot, strzelec","Играть за пилота, стрелка","Jouable comme pilote, tireur","Disponible de piloto, artillero","Utilizzabile come pilota, artigliere"
STR_PLAYABLE_CDG,"Playable as commander, driver, gunner","Hratelné jako velitel, řidič a střelec","Als Kommandant, Fahrer, Schütze spielbar","Można grać jako dowódca, kierowca, strzelec","Играть за командира, водителя, стрелка","Jouable comme chef de bord, conducteur, tireur","Disponible de oficical, conductor, artillero","Utilizzabile come comandante, guidatore, artigliere"
STR_PLAYABLE_CPG,"Playable as commander, pilot, gunner","Hratelné jako velitel, pilot a střelec","Als Kommandant, Pilot, Schütze spielbar","Można grać jako dowódca, pilot, strzelec","Играть за командира, пилота, стрелка","Jouable comme chef de bord, pilote, tireur","Disponible de oficial, piloto, artillero","Utilizzabile come comandante, pilota, artigliere"
STR_STAT_MISSION,"Mission statistics:","Statistiky mise:","Einsatzstatistiken:","Statystyki misji:","Статистика по заданию:","Stats mission :","Estadísticas de la misión:","Statistiche missione:"
STR_STAT_TOTAL,"Total statistics:","Celkové statistiky:","Gesamtstatistiken:","Statystyki ogólne:","Общая статистика:","Stats totales :","Estadísticas totales:","Statistiche generali:"
STR_STAT_YOU,"YOU WERE KILLED %d TIMES.","BYL JSI ZABIT %dKRÁT.","SIE SIND %d MAL GETÖTET WORDEN.","ZOSTAŁEŚ ZABITY %d RAZY.","ВАС УБИЛИ %d РАЗ","VOUS AVEZ ÉTÉ TUÉ %d FOIS.","TE HAN MATADO %d VECES.","SEI STATO UCCISO %d VOLTE."
STR_STAT_GRP,"YOUR GROUP LOST %d UNITS.","TVÁ SKUPINA ZTRATILA %d JEDNOTEK.","IHRE GRUPPE HAT %d EINHEITEN VERLOREN.","TWOJA GRUPA STRACIŁA %d JEDNOSTEK.","ВАША ГРУППА ПОТЕРЯЛА ЮНИТОВ: %d","VOTRE GROUPEMENT A PERDU %d ÉLÉMENTS.","TU GRUPO HA PERDIDO %d UNIDADES.","IL TUO GRUPPO HA PERSO %d UNITÀ."
STR_TEMPL_MERGE,"Merge mission","Připojit misi","Einsatz zusammenfügen","Misja połączona","Объединить задания","Fusionner mission","Fusionar misión","Incorpora missione"
STR_SOUND_NONE,"No sound","Žadný zvuk","Kein Sound","Brak dźwięku","Нет звука","Pas de son","Sin sonido","Senza suono"
STR_MUSIC_NONE,"No music","Žadná hudba","Keine Musik","Brak muzyki","Нет музыки","Pas de musique","Sin música","Senza musica"
STR_MUSIC_SILENCE,"Silence","Ticho","Stille","Cisza","Тишина","Silence","Silencio","Silenzio"
STR_NO_CHANGE,"No change","Beze změny","Keine Veränderung","Bez zmian","Без изменений","Pas de changement","Sin cambios","Nessun cambiamento"
STR_SURE,"Are you sure?","Jsi si jist?","Sind Sie sicher?","Jesteś pewien?","Вы уверены?","Vraiment ?","¿Estás seguro?","Sei sicuro?"
STR_HOUSE_POSITION,"Position #%d","Pozice č.%d","Position #%d","Pozycja #%d","Позиция #%d","Position #%d","Posición #%d","Posizione #%d"
STR_SENSOR,"TRIGGER","SPÍNAČ","AUSLÖSER","WYZWALACZ","ТРИГГЕР","DÉCLENCHEUR","ACTIVADOR","ATTIVATORE"
STR_MAP_BRIEFING_SHOW,"%1 Show notepad","%1 Zobrazit blok","%1 Notizblock anzeigen","%1 Pokaż notatnik","%1 Показать планшет","%1 Afficher bloc-notes","%1 Mostrar bloc de notas","%1 Mostra bloc-notes"
STR_MAP_BRIEFING_TEAM_SWITCH,"%1 Team switch","%1 Přepnout tým","%1 Teamwechsel","%1 Przełącz drużynę","%1 Сменить роль","%1 Changer d’équipe","%1 Cambio de pelotón","%1 Cambio di squadra"
STR_MAP_BRIEFING_HIDE,"%1 Map","%1 Mapa","%1 Karte","%1 Mapa","%1 Карта","%1 Carte","%1 Mapa","%1 Mappa"
STR_MAP_BRIEFING_PLAN,"%1 Mission plan","%1 Plán mise","%1 Einsatzplan","%1 Plan misji","%1 План задания","%1 Plan de mission","%1 Plan de la misión","%1 Piano missione"
STR_MAP_BRIEFING_NOTES,"%1 Notes","%1 Poznámky","%1 Notizen","%1 Uwagi","%1 Заметки","%1 Notes","%1 Notas","%1 Note"
STR_MAP_BRIEFING_GEAR,"%1 Gear","%1 Výzbroj","%1 Ausrüstung","%1 Wyposażenie","%1 Оружие","%1 Matériel","%1 Equipamiento","%1 Equipaggiamento"
STR_MAP_BRIEFING_GROUP,"%1 Group","%1 Skupina","%1 Gruppe","%1 Grupa","%1 Группа","%1 Groupement","%1 Grupo","%1 Gruppo"
STR_CAMPAIGN_NEW,"New campaign","Nová kampaň","Neue Kampagne","Nowa kampania","Новая кампания","Nouvelle campagne","Nueva campaña","Nuova campagna"
STR_CAMPAIGN_MIS_TITLE,"%s - %s - Mission Statistics","%s - %s - statistika mise","%s - %s - Einsatzstatistiken","%s - %s - Statystyki misji","%s - %s - Статистика по заданию","%s - %s - Stats mission","%s - %s – Estadísticas de la misión","%s - %s - Statistiche missione"
STR_CAMPAIGN_START,"Start campaign","Spustit kampaň","Kampagne beginnen","Rozpoczęcie kampanii","Начать кампанию","Lancer campagne","Empezar campaña","Inizia campagna"
STR_CAMPAIGN_RETRY,"Retry mission","Opakovat misi","Erneut versuchen","Ponowne uruchomienie misji","Переиграть","Réessayer mission","Reintentar misión","Riprova missione"
STR_CAMPAIGN_CONTINUE,"Continue","Pokračovat","Weiter","Kontynuacja","Продолжить","Continuer","Continuar","Continua"
STR_CAMPAIGN_BEGIN,"Start","Začít","Anfang","Start","Начало","Lancer","Inicio","Inizia"
STR_CAMPAIGN_RESTART,"Revert","Vrátit se","Zurückkehren","Powrót","Назад","Revenir","Volver","Ritorna"
STR_CAMPAIGN_RESUME,"Continue","Pokračovat","Weiter","Kontynuacja","Продолжить","Continuer","Continuar","Continua"
STR_DISP_CAMPAIGN_REPLAY,"Replay mission","Hrát znovu","Wiederholen","Powtórz misję","Повтор","Rejouer mission","Repetir misión","Ricom. miss."
