LANGUAGE,"Czech","Polish"
STR_VEHICLE_UNLOCKED,"OdemËeno","Odblokowane"
STR_VEHICLE_DEFAULT,"StandardnÌ","Domyúlny"
STR_VEHICLE_LOCKED,"ZamËeno","Zablokowane"
STR_ENABLED,"Povoleno","W≥πczone"
STR_DISABLED,"Zak·z·no","Wy≥πczone"
STR_LEFT_BUTTON,"LevÈ","Lewy"
STR_RIGHT_BUTTON,"PravÈ","Prawy"
STR_SINGLE_VOICE,"Jeden","Jeden"
STR_ALL_VOICES,"Vöechny","Wszyscy"
STR_NO_PASSWORD,"Bez hesla","Bez has≥a"
STR_PASSWORD,"Heslo: %s","Has≥o: %s"
STR_PLAYER_ID,"ID hr·Ëe: %s","Identyfikator gracza: %s"

STR_CHANNEL_GLOBAL,"Ve¯ejn˝ kan·l","Kana≥ powszechny"
STR_CHANNEL_SIDE,"Kan·l strany","Kana≥ strony"
STR_CHANNEL_GROUP,"Kan·l skupiny","Kana≥ grupy"
STR_CHANNEL_VEHICLE,"Kan·l vozidla","Kana≥ pojazdu"
STR_CHANNEL_DIRECT,"P¯ÌmÈ mluvenÌ","Rozmowa wprost"

STR_COMMANDER,"Velitel","DowÛdca"
STR_DRIVER,"ÿidiË","Kierowca"
STR_PILOT,"Pilot","Pilot"
STR_GUNNER,"St¯elec","Strzelec"

STR_MAP_NOTES,"Popis","Notatki"
STR_MAP_PLAN,"Pl·n","Plan"
STR_MAP_GEAR,"V˝stroj","Ekwipunek"
STR_MAP_GROUP,"Skupina","Grupa"
STR_MAP_DNOTES,"Popis","Notatki"
STR_MAP_DLOG,"ShrnutÌ","Podsumowanie"

STR_MISSION_COMPLETED,"Hotovo","Gotowe"
STR_MISSION_INCOMPLETED,"Mise nebyla ukonËena","Misja niezakoÒczona"
STR_MISSION_FAILED,"Mise byla ne˙spÏön·","Misja przegrana"
STR_MISSION_KILLED,"Byl jsi zabit.","Nie øyjesz."
STR_UI_PRESSEND,"Misi ukonËi stiskem kl·vesy END.","Naciúnij END, aby przerwaÊ misjÍ. "
STR_UI_PRESSENDRETRY,"Misi opakuj stiskem kl·vesy END.","Naciúnij END, aby zaczπÊ misjÍ od nowa."
STR_LIVES_1,"Tv· poslednÌ öance!!!","Masz ostatniπ szansÍ!!!"
STR_LIVES_3,"Jiû jen %d pokus˘!","Juø tylko %d prÛby!"
STR_LIVES_MORE,"Zb˝v· %d pokus˘.","Jeszcze %d prÛb."

STR_MIS_STATE_INTERRUPTED,"P¯eruöena","Przerwana"
STR_MIS_STATE_COMPLETED,"SplnÏna","Wype≥niona"
STR_MIS_STATE_FAILED,"NesplnÏna","Przegrana"
STR_MIS_STATE_ERROR,"Chyba","B≥πd"

STR_OBJECTIVE_DONE,"⁄kol splnÏn","Cel zrealizowany"
STR_OBJECTIVE_UPDATED,"Pl·n mise upraven","Plan misji zosta≥ zmieniony"

STR_MSG_SELECT_GAME,"MusÌö zvolit hru!","Tu trzeba wybraÊ grÍ!"
STR_MSG_NAME_EMPTY,"Je nutnÈ zadat n·zev hry!","Nie moøna nie nadaÊ nazwy grze!"
STR_MSG_PLAYERNAME_EMPTY,"Je nutnÈ zadat jmÈno hr·Ëe!","Gracz musi mieÊ nazwÍ!"
STR_MSG_PLAYER_EXIST,"Takov˝ hr·Ë jiû existuje!","Taki gracz juø istnieje!"
STR_MSG_NETWORK_FAIL,"ProblÈmy s p¯ipojenÌm sÌtÏ!","Nie moøna znaleüÊ us≥ug sieciowych!"
STR_MSG_NO_PLAYER,"Hr·Ë nenÌ nastaven!","Nie wybrano øadnego gracza!"
STR_MSG_NO_PLAYERS,"Jsou nutnÌ dva hr·Ëi!","Powinno byÊ dwÛch graczy!"
STR_MSG_ONE_SIDE,"Reûim spolupr·ce nenÌ podporov·n!","Tryb kolektywny nie jest obs≥ugiwany!"
STR_MSG_LOT_UNITS,"Skupina m˘ûe mÌt nejv˝öe %d jednotek!","Grupa moøe liczyÊ nie wiÍcej niø %d jednostek!"
STR_MSG_LOT_GROUPS,"PoËet skupin je omezen na %d!","Po kaødej stronie moøe byÊ nie wiÍcej niø %d jednostek!"
STR_MSG_NO_VEH_SELECT,"Zvol vozidlo!","Wybierz pojazd!"
STR_MSG_MARKER_EMPTY,"ZnaËka nem· n·zev!","Znak musi mieÊ nazwÍ!"
STR_MSG_MARKER_EXIST,"Takto nazvan· znaËka jiû existuje!","Znak o takiej nazwie juø istnieje!"
STR_MSG_SELECT_MISSION,"Vyberte kampaÚ, bitvu nebo misi!","Wybierz kampaniÍ, bitwÍ lub misjÍ!"
STR_MSG_VEH_NAME,"äpatn˝ n·zev promÏnnÈ","Nieprawid≥owa nazwa zmiennej!"
STR_MSG_VEH_TEXT_USED,"N·zev promÏnnÈ jiû byl pouûit!","Nazwa zmiennej jest w uøyciu!"
STR_MSG_LOAD_TEMPL_FAIL,"Nepoda¯ilo se naËÌst misi!","Nie uda≥o siÍ za≥adowaÊ misji!"
STR_MSG_SAVE_TEMPL_FAIL,"Nepoda¯ilo se uloûit misi!","Nie uda≥o siÍ zapisaÊ misji!"
STR_MSG_TEMPL_READONLY,"UpozornÏnÌ: Soubor jen pro ËtenÌ!","Ostrzeøenie: Plik jest tylko do odczytu!"
STR_MSG_TEMPL_ACCESSDENIED,"P¯Ìstup odep¯en! Soubor jen pro ËtenÌ?","Zakaz dostÍpu! Plik tylko do odczytu?"
STR_MSG_MP_ASSIGN_PLAYERS,"P¯i¯aÔ hr·Ëe!","Nie przydzielono øadnego gracza!"
STR_MSG_MP_BAD_ADDRESS,"äpatn· IP adresa!","B≥Ídny adres IP!"
STR_MSG_MP_W_ASSIGN,"Velitel Z·padu nep¯idÏlen!","Nie wyznaczono dowÛdcy Zachodu!"
STR_MSG_MP_E_ASSIGN,"Velitel V˝chodu nep¯idÏlen!","Nie wyznaczono dowÛdcy Wschodu!"
STR_MSG_MP_R_ASSIGN,"Velitel partyz·n˘ nep¯i¯azen!","Nie wyznaczono dowÛdcy partyzantÛw!"
STR_MSG_MP_C_ASSIGN,"Velitel civilist˘ nep¯i¯azen!","Nie wyznaczono dowÛdcy cywili!"
STR_MSG_MP_SERVER_ASSIGN,"MusÌö b˝t velitelem strany!","Musisz dowodziÊ stronπ!"
STR_MSG_MP_PASSWORD,"Je vyûadov·no heslo.","Trzeba podaÊ has≥o."
STR_MSG_MP_VERSION,"äpatn· verze, server odmÌtl p¯ipojenÌ.","NiezgodnoúÊ wersji - serwer odrzuci≥ po≥πczenie."
STR_MSG_MP_CONNECT_ERROR,"P¯ipojenÌ selhalo","Po≥πczenie nie powiod≥o siÍ."


COMMENT,"Zkuöenost","Doúwiadczenie"
STR_EXP_MISSION_COMPLETED,"MISE DOKON»ENA. ZKUäENOST SE ZV›äILA.","MISJA UKO—CZONA. WZROST DOåWIADCZENIA. "
STR_EXP_MISSION_FAILED,"MISE NEBYLA DOKON»ENA. ZKUäENOST SE SNÕéILA.","MISJA PRZEGRANA. STRATA DOåWIADCZENIA. "
STR_EXP_COMMAND_COMPLETED,"ROZKAZ SPLNÃN. ZKUäENOST SE ZV›äILA.","ROZKAZ WYPE£NIONY. WZROST DOåWIADCZENIA."
STR_EXP_COMMAND_FAILED,"ROZKAZ NEBYL SPLNÃN. ZKUäENOST SE SNÕéILA.","ROZKAZ NIEWYPE£NIONY. STRATA DOåWIADCZENIA."

STR_EXP_ENEMY_DESTROYED,"NEPÿ¡TELSK› %s ZNI»EN. ZKUäENOST SE ZV›äILA.","WR”G % ZLIKWIDOWANY. WZROST DOåWIADCZENIA."
STR_EXP_FRIENDLY_DESTROYED,"SPOJENECK› %s ZNI»EN. ZKUäENOST SE SNÕéILA.","SW”J % ZLIKWIDOWANY. STRATA DOåWIADCZENIA."
STR_EXP_NEUTRAL_DESTROYED,"NEUTR¡LNÕ %s ZNI»EN. ZKUäENOST SE SNÕéILA.","NEUTRALNY % ZLIKWIDOWANY. STRATA DOåWIADCZENIA."
STR_EXP_UNKNOWN_DESTROYED,"NEZN¡M› %s ZNI»EN. ZKUäENOST SE SNÕéILA.","NIEZNANY % ZLIKWIDOWANY. STRATA DOåWIADCZENIA."

STR_EXP_UNIT_LOST,"%s ZTRACEN(A). ZKUäENOST SE SNÕéILA.","STRACONO %. STRATA DOåWIADCZENIA."
STR_EXP_FOLLOW_ME,"MUSÕTE SE DRéET VELITELE. ZKUäENOST SE SNÕéILA.","MUSISZ POD•ØA∆ ZA DOW”DC•. STRATA DOåWIADCZENIA."

STR_STAT_KILL_CIVIL,"%s Zabit civilista (%s)","%s Zabitych cywili (%s)"
STR_STAT_KILL_ENEMY_SOLDIER,"%s Zabit nep¯·telsk˝ voj·k (%s)","%s Zabitych øo≥nierzy wroga (%s)"
STR_STAT_KILL_FRIENDLY_SOLDIER,"%s Zabit spojeneck˝ voj·k (%s)","%s Zabitych swoich øo≥nierzy (%s)"
STR_STAT_KILL_CIVILIAN_UNIT,"%s CivilnÌ cÌl (%s) zniËen (%s)","%s Cywil %s zniszczony (%s)"
STR_STAT_KILL_ENEMY_UNIT,"%s Nep¯·telsk˝ cÌl (%s) zniËen (%s)","%s WrÛg %s zniszczony (%s)"
STR_STAT_KILL_FRIENDLY_UNIT,"%s Spojeneck˝ cÌl (%s) zniËen (%s)","%s SwÛj %s zniszczony (%s)"
STR_STAT_UNIT_LOST,"%s %s %s zabit v akci (%s)","%s %s %s poleg≥ w walce (%s)"

STR_KILLED_BY,"%s (%s %d) byl zabit - dostal ho %s","%s (%s %d) zosta≥ zabity przez %s"
STR_KILLED,"%s (%s %d) je mrtev","%s (%s %d) nie øyje"

COMMENT,"Body trasy","Punkty drogi"
STR_AC_MOVE,"PÿESUN","RUSZAJ"
STR_AC_DESTROY,"ZNI»IT","ZNISZCZ"
STR_AC_GETIN,"NASTOUPIT","WSIADAJ"
STR_AC_SEEKANDDESTROY,"NAJÕT A ZNI»IT","ZNAJDè I ZNISZCZ"
STR_AC_JOIN,"PÿIPOJIT SE","DO£•CZ"
STR_AC_LEADER,"SPOJIT SE (A VELET)","DO£•CZ I POPROWADè"
STR_AC_GETOUT,"VYSTOUPIT","WYSI•Dè"
STR_AC_CYCLE,"ZACYKLENÕ","PRZE£•CZ"
STR_AC_LOAD,"NALOéIT","ZA£ADUJ"
STR_AC_UNLOAD,"VYLOéIT","WY£ADUJ"
STR_AC_TRANSPORTUNLOAD,"VYLOéIT N¡KLAD","WY£ADUJ TRANSPORT"
STR_AC_HOLD,"DRéET POZICI","UTRZYMAJ"
STR_AC_SENTRY,"HLÕDKOVAT","WARTA"
STR_AC_GUARD,"CHR¡NIT","PILNUJ"
STR_AC_TALK,"MLUVIT","M”W"
STR_AC_SCRIPTED,"SKRIPTOVAN› WP","ZAPLANOWANY"
STR_AC_SUPPORT,"PÿIPRAVIT PODPORU","WSPARCIE"
STR_AC_AND,"A (AND)","I"
STR_AC_OR,"NEBO (OR)","LUB"

STR_SYNC_WAITING,"»EKAT NA OSTATNÕ","CZEKAJ NA RESZT "

STR_SPECIAL_NONE,"Nic","Nic"
STR_SPECIAL_CARGO,"Naloûen","W transporcie"
STR_SPECIAL_FLYING,"Ve vzduchu","W locie"
STR_SPECIAL_FORM,"Ve formaci","W szyku"

STR_AGE_ACTUAL,"Aktu·lnÌ","Bieøπcy"
STR_AGE_5MIN,"5 minut","5 minut"
STR_AGE_10MIN,"10 minut","10 minut"
STR_AGE_15MIN,"15 minut","15 minut"
STR_AGE_30MIN,"30 minut","30 minut"
STR_AGE_60MIN,"1 hodina","1 godzina"
STR_AGE_120MIN,"2 hodiny","2 godziny"
STR_AGE_UNKNOWN,"Nezn·m·","Nie wiadomo"

STR_SENSORACTIV_NONE,"Nikdo","Øadna"
STR_SENSORACTIV_ANYBODY,"Kdokoli","Ktokolwiek"
STR_SENSORACTIV_ALPHA,"R·dio Alfa","Radio Alpha"
STR_SENSORACTIV_BRAVO,"R·dio Bravo","Radio Bravo"
STR_SENSORACTIV_CHARLIE,"R·dio Charlie","Radio Charlie"
STR_SENSORACTIV_DELTA,"R·dio Delta","Radio Delta"
STR_SENSORACTIV_ECHO,"R·dio Echo","Radio Echo"
STR_SENSORACTIV_FOXTROT,"R·dio Foxtrot","Radio Foxtrot"
STR_SENSORACTIV_GOLF,"R·dio Golf","Radio Golf"
STR_SENSORACTIV_HOTEL,"R·dio Hotel","Radio Hotel"
STR_SENSORACTIV_STATIC,"Statick˝ objekt","Nieruchomy obiekt"
STR_SENSORACTIV_VEHICLE,"Vozidlo","Pojazd"
STR_SENSORACTIV_GROUP,"Cel· skupina","Ca≥a grupa"
STR_SENSORACTIV_LEADER,"Velitel skupiny","DowÛdca grupy"
STR_SENSORACTIV_MEMBER,"Kdokoli ze skupiny","Dowolny cz≥onek grupy"

STR_SENSORTYPE_NONE,"é·dn˝","Øadny"
STR_SENSORTYPE_GUARD_EAST,"St¯eûen V˝chodem","Pod straøπ Wschodu"
STR_SENSORTYPE_GUARD_WEST,"St¯eûen Z·padem","Pod straøπ Zachodu"
STR_SENSORTYPE_GUARD_GUERRILA,"St¯eûen partyz·ny","Pod straøπ partyzantÛw"
STR_SENSORTYPE_SWITCH,"P¯epÌnaË","Prze≥πcz"
STR_SENSORTYPE_END1,"Konec Ë.1","Koniec cz. 1"
STR_SENSORTYPE_END2,"Konec Ë.2","Koniec cz. 2"
STR_SENSORTYPE_END3,"Konec Ë.3","Koniec cz. 3"
STR_SENSORTYPE_END4,"Konec Ë.4","Koniec cz. 4"
STR_SENSORTYPE_END5,"Konec Ë.5","Koniec cz. 5"
STR_SENSORTYPE_END6,"Konec Ë.6","Koniec cz. 6"
STR_SENSORTYPE_LOOSE,"Prohra","Przegrana"

STR_SPEED_UNCHANGED,"Beze zmÏny","Bez zmian"
STR_SPEED_LIMITED,"Pomal·","Ograniczona"
STR_SPEED_NORMAL,"BÏûn·","Zwyk≥a"
STR_SPEED_FULL,"Pln·","Pe≥na"

STR_COMBAT_UNCHANGED,"Beze zmÏny","Bez zmian"
STR_COMBAT_CARELESS,"BezstarostnÏ","Beztrosko"
STR_COMBAT_SAFE,"VolnÏ","Bezpiecznie "
STR_COMBAT_AWARE,"OpatrnÏ","Ostroønie"
STR_COMBAT_COMBAT,"BojovnÏ","Bojowo"
STR_COMBAT_STEALTH,"SkrytÏ","Ukradkiem"

COMMENT,"Texty na hlavnÌ mapÏ","Teksty na mapie g≥Ûwnej"
STR_MM_UNITS,"JEDNOTKY:","JEDNOSTKI:"
STR_MM_POSITION,"POZICE %s","POZYCJA %s"
STR_MM_LOCATION,"UMÕSTÃNÕ %s","LOKALIZACJA %s"
STR_MM_CHECKPOINT,"KONTROLNÕ STANOVIäTÃ","PUNKT KONTRONY"
STR_MM_NORMAL,"- %s","- %s"
STR_MM_AWAY,"- %s (vzdalen·)","- %s (z daleka)"
STR_MM_CARGO,"- %s (naloûen·)","- %s (w transporcie)"
STR_MM_LEADERAWAY,"%s (vzdalen·)","%s (z daleka)"

COMMENT,"Efekty kamery","Efekty kamery"
STR_CAMEFFECT_NONE,"é¡DN¡","ØADNA"
STR_CAMEFFECT_STATIC,"STATICK¡","NIERUCHOMA"
STR_CAMEFFECT_TRACKING,"STATICK¡ SE ZOOMEM","NIERUCHOMA Z ZOOMEM"
STR_CAMEFFECT_FOLLOW_NEAR,"SLEDOVACÕ 1","TROPI•CA 1"
STR_CAMEFFECT_FOLLOW_FAR,"SLEDOVACÕ 2","TROPI•CA 2"
STR_CAMEFFECT_EXTERNAL,"VNÃJäÕ 1","ZEWN TRZNA 1"
STR_CAMEFFECT_EXTERNAL_FIX,"VNÃJäÕ 2","ZEWN TRZNA 2"
STR_CAMEFFECT_ALIGNED,"SROVNAN¡","WYR”WNANA"
STR_CAMEFFECT_ZOOMIN,"PÿIBLÕéENÕ","PRZYBLIØENIE"
STR_CAMEFFECT_ZOOMOUT,"ODD¡LENÕ","ODDALENIE"
STR_CAMEFFECT_BOOMANDZOOM,"PÿIBLÕéENÕ A ODD¡LENÕ","PRZYBLIØENIE I ODDALENIE"
STR_CAMEFFECT_TRANSITION,"PÿECHOD","PRZEJåCIE"
STR_CAMEFFECT_TERMINATE,"KONEC","ZAKO—CZ"

STR_CAMEFFECT_TOP,"SHORA","G”RA"
STR_CAMEFFECT_LEFT,"ZLEVA","LEWO"
STR_CAMEFFECT_RIGHT,"ZPRAVA","PRAWO"
STR_CAMEFFECT_FRONT,"ZEPÿEDU","PRZ”D"
STR_CAMEFFECT_BACK,"ZEZADU","TY£"
STR_CAMEFFECT_LEFTFRONT,"ZLEVA ZEPÿEDU","LEWO Z PRZODU"
STR_CAMEFFECT_RIGHTFRONT,"ZPRAVA ZEPÿEDU","PRAWO Z PRZODU"
STR_CAMEFFECT_LEFTBACK,"ZLEVA ZEZADU","LEWO Z TY£U"
STR_CAMEFFECT_RIGHTBACK,"ZPRAVA ZEZADU","PRAWO Z TY£U"
STR_CAMEFFECT_LEFTTOP,"ZLEVA SHORA","LEWO Z G”RY"
STR_CAMEFFECT_RIGHTTOP,"ZPRAVA SHORA","PRAWO Z G”RY"
STR_CAMEFFECT_FRONTTOP,"ZEPÿEDU SHORA","PRZ”D Z G”RY"
STR_CAMEFFECT_BACKTOP,"ZEZADU SHORA","TY£ Z G”RY"
STR_CAMEFFECT_BOTTOM,"ZESPOD","SP”D"

STR_TITTYPE_NONE,"é¡DN›","ØADNY"
STR_TITTYPE_OBJECT,"OBJEKT","OBIEKT"
STR_TITTYPE_RESOURCE,"ZDROJ","èR”D£O"
STR_TITTYPE_TEXT,"TEXT","TEKST"

STR_TITEFFECT_PLAIN,"UPROSTÿED","ZWYK£Y"
STR_TITEFFECT_PLAIN_DOWN,"DOLE","SP”D"
STR_TITEFFECT_BLACK,"NA »ERN…","CZARNY"
STR_TITEFFECT_BLACKFADED,"ZATMÕVACÕ","CZARNY WYBLAK£Y"
STR_TITEFFECT_BLACKOUT,"PÿECHOD DO »ERN…","PRZEJåCIE Z CZARNEGO"
STR_TITEFFECT_BLACKIN,"PÿECHOD Z »ERN…","PRZEJåCIE DO CZARNEGO"
STR_TITEFFECT_WHITEOUT,"PÿECHOD DO BÕL…","PRZEJåCIE Z BIA£EGO"
STR_TITEFFECT_WHITEIN,"PÿECHOD Z BÕL…","PRZEJåCIE DO BIA£EGO"

STR_SECTION_MISSION,"Mise","Misja"
STR_SECTION_INTRO,"Intro","WstÍp"
STR_SECTION_OUTRO_WIN,"Outro - vÌtÏzstvÌ","Wynik - wygrana"
STR_SECTION_OUTRO_LOOSE,"Outro - prohra","Wynik - przegrana"
STR_SECTION_CUTSCENE,"ScÈna Ë. %d","Scenka cz. %d"

COMMENT,"Chyby ve v˝razech","B≥Ídy w wyraøeniach"
STR_EVAL_GEN,"Obecn· chyba ve v˝razu","B≥πd kanoniczny w wyraøeniu"
STR_EVAL_EXPO,"P¯Ìliö velk˝ exponent","Wyk≥adnik poza zakresem lub nieprawid≥owy"
STR_EVAL_NUM,"NeplatnÈ ËÌslo ve v˝razu","B≥Ídna liczba w wyraøeniu"
STR_EVAL_VAR,"Pouûita nedefinovan· promÏnn·","W wyraøeniu jest niezdefiniowana zmienna"
STR_EVAL_BAD_VAR,"Pouûita vyhrazen· promÏnn·","W wyraøeniu jest zastrzeøona zmienna"
STR_EVAL_DIV_ZERO,"DÏlenÌ nulou","Dzielenie przez zero"
STR_EVAL_TG90,"Tangens 90 stupÚ˘","Tangens 90 stopni"
STR_EVAL_OPENB,"ChybÌ (","Brak ("
STR_EVAL_CLOSEB,"ChybÌ )","Brak )"
STR_EVAL_EQU,"ChybÌ =","Brak ="
STR_EVAL_SEMICOLON,"ChybÌ ;","Brak ;"
STR_EVAL_OPER,"Nezn·m˝ oper·tor %s","Nieznany operator %s"
STR_EVAL_LINE_LONG,"P¯Ìliö dlouh˝ v˝raz","Wyraøenie za d≥ugie"
STR_EVAL_TYPE,"Typ %s, m· b˝t %s","Typ %s, powinien byÊ %s"
STR_EVAL_NAMESPACE,"Nelze pouûÌt lok·lnÌ promÏnnÈ","Zmienna lokalna w przestrzeni globalnej"
STR_EVAL_DIM,"Pole m· %d prvk?, m· mÌt %d","Pole ma %d elementÛw, powinno byÊ %d"

COMMENT,"Typy ve v˝razech","Typy w wyraøeniach"
STR_EVAL_TYPEANY,"Jak˝koliv","Dowolny"
STR_EVAL_TYPESCALAR,"»Ìslo","Liczba"
STR_EVAL_TYPEBOOL,"Bool","Logiczny"
STR_EVAL_TYPEARRAY,"Pole","Macierz"
STR_EVAL_TYPESTRING,"ÿetÏzec","Znaki"
STR_EVAL_TYPENOTHING,"Nic","Nic"
STR_EVAL_TYPEOBJECT,"Objekt","Obiekt"
STR_EVAL_TYPEVECTOR,"Vektor","Wektor"
STR_EVAL_TYPETRANS,"Transformace","Przekszta≥cenie"
STR_EVAL_TYPEORIENT,"Orientace","Orientacja"
STR_EVAL_TYPESIDE,"Strana","Strona"
STR_EVAL_TYPEGROUP,"Skupina","Grupa"

COMMENT,"⁄vodnÌ texty","Teksty tytu≥owe"
STR_TIT_BOH_INT,"Bohemia Interactive Studio","Bohemia Interactive Studio"
STR_TIT_PRESENTS,"uv·dÌ","przedstawia"
STR_TIT_AGAMEBY,"hru","grÍ komputerowπ"
STR_TIT_PRODUCER,"ÿÌdÌ:","Reøyseria"
STR_TIT_LEAD_PROGRAM,"VedoucÌ program·tor:","G≥Ûwny programista"
STR_TIT_ADD_PROGRAM,"Program·tor umÏlÈ inteligence:","Programista sztucznej inteligencji"
STR_TIT_LEAD_GRAPHICS,"VedoucÌ v˝tvarnÌk","Kierownik artystyczny"
STR_TIT_ADD_GRAPHICS,"A dalöÌ","Pozostali"

STR_TIT_MAREK_S,"Marek äpanÏl","Marek äpanel"
STR_TIT_ONDRA_S,"Ond¯ej äpanÏl","Ondrej äpanel"
STR_TIT_JIRKA_M,"Ji¯Ì Martinek","JirÌ Martinek"
STR_TIT_HONZA_H,"Jan Hovora","Jan Hovora"
STR_TIT_PETR_P,"Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - Vojtech Nov·k - Honza Kraml"
STR_TIT_MICHAL_V,"Michal Vondr·Ëek","Michal Vondracek"

COMMENT,"ÿetÏzce ve zdrojÌch","Ciπgi w ürÛd≥ach"
COMMENT,"ObecnÈ p¯edmÏty","Przedmioty ogÛlne"
STR_DISP_OK,"OK","OK"
STR_DISP_CANCEL,"Storno","Anuluj"
STR_DISP_CLOSE,"Zav¯i","Zamknij"
STR_DISP_DEFAULT,"StandardnÌ","Domyúlny"
STR_DISP_NEW,"Nov˝","Nowy"
STR_DISP_DELETE,"Smazat","UsuÒ"
STR_DISP_EDIT,"ZmÏnit","Zmodyfikuj"
STR_DISP_CONTINUE,"PokraËuj","Kontynuuj"
STR_DISP_ERROR,"CHYBA - nahraÔte","B£•D - zamieÒ"

COMMENT,"HlavnÌ displej","G≥Ûwny ekran"
STR_DISP_MAIN_GAME,"KAMPA“","KAMPANIA"
STR_DISP_MAIN_OPTIONS,"NASTAVENÕ","OPCJE"
STR_DISP_MAIN_SINGLE,"JEDNOTLIV… MISE","POJEDYNCZA MISJA"
STR_DISP_MAIN_CUSTOM,"EDITOR MISÕ","EDYTOR MISJI"
STR_DISP_MAIN_MULTI,"SÕçOV¡ HRA","GRA WIELOOSOBOWA"
STR_DISP_MAIN_QUIT,"KONEC HRY","WYJåCIE"
STR_DISP_MAIN_CREDITS,"Auto¯i","Autorzy"
STR_DISP_MAIN_ARCADE,"Hled·nÌ chyb","Szukanie b≥ÍdÛw"
STR_DISP_MAIN_CONTINUE,"POKRA»OVAT","KONTYNUOWA∆"
STR_DISP_MAIN_DESIGN,"VäECHNY MISE (PRO N¡VRH¡ÿE)","WSZYSTKIE MISJE (DLA PROJEKTANT”W)"

STR_DISP_MAIN_SAVE,"Testuji uloûenÌ","Testowanie zapisywania"
STR_DISP_MAIN_LOAD,"Testuji nahr·v·nÌ","Testowanie wczytywania"

COMMENT,"Displej jednotliv˝ch misÌ","Ekran pojedynczych misji"
STR_DISP_SINGLE_TITLE,"JednotlivÈ mise","Pojedyncze misje"

COMMENT,"HernÌ displej","Ekran gry"
STR_DISP_GAME_SELECT,"Vyberte hru:","Wybierz grÍ:"
STR_DISP_GAME_NEW,"Nov· hra","Nowa gra"
STR_DISP_GAME_NAME,"JmÈno:","Nazwa:"
STR_DISP_GAME_SIDE,"Zvol stranu:","Wybierz stronÍ"
STR_DISP_GAME_WEST,"Z·pad","ZachÛd"
STR_DISP_GAME_EAST,"V˝chod","WschÛd"
STR_DISP_GAME_GUERRILA,"Partyz·ni","Partyzanci"

COMMENT,"Displej vlastnÌ hry","W≥asny ekran gry"
STR_DISP_CUST_PLAY,"Hra","Gra"
STR_CUST_EDIT,"⁄pravy","Modyfikacje"
STR_CUST_NEW,"Nov·","Nowa"

COMMENT,"Displej kampanÏ","Ekran kampanii"
STR_DISP_CAMPAIGN_REPLAY,"Znovu hr·t misi","RozpoczπÊ misjÍ"
STR_DISP_CAMPAIGN_FLASHPOINT,"FLASHPOINT","FLASHPOINT"
STR_DISP_CAMPAIGN_CONTENTS,"Obsah:","ZawartoúÊ:"

COMMENT,"Displej akËnÌ hry","Ekran gry zrÍcznoúciowej"
STR_DISP_GAME_ARCADE,"AkËnÌ hra","Gra zrÍcznoúciowa"

COMMENT,"Displej voleb","Ekran opcji"
STR_DISP_OPTIONS_TITLE,"NastavenÌ","Opcje"
STR_DISP_OPTIONS_VIDEO,"Grafika","Opcje wizualne"
STR_DISP_OPTIONS_AUDIO,"Zvuk","Opcje düwiÍkowe"
STR_DISP_OPTIONS_CONFIGURE,"Ovl·d·nÌ","Sterowanie"
STR_DISP_OPTIONS_DIFFICULTY,"ObtÌûnost","StopieÒ trudnoúci"

STR_DISP_OPT_VISUALS,"Grafika","Grafika"
STR_DISP_OPT_QUALITY,"Kvalita zobrazenÌ:","JakoúÊ obrazu:"
STR_DISP_OPT_VISIBILITY,"Viditelnost:","WidocznoúÊ:"
STR_DISP_OPT_FRAMERATE,"SnÌmkov· frekvence:","IloúÊ klatek:"
STR_DISP_OPT_TEXTURES,"RozliöenÌ textur","RozdzielczoúÊ tekstur"
STR_DISP_OPT_GAMMA,"Gamma korekce:","Korekcja gamma:"
STR_DISP_OPT_BRIGHT,"Jas:","JasnoúÊ:"
STR_DISP_OPT_RESOLUTION,"RozliöenÌ:","RozdzielczoúÊ:"
STR_DISP_OPT_REFRESH,"ObnovovacÌ frekvence:","CzÍstotliwoúÊ odúwieøania:"
STR_DISP_OPT_OBJSHADOWS,"StÌny objekt˘:","Cienie obiektÛw:"
STR_DISP_OPT_VEHSHADOWS,"StÌny vozidel:","Cienie pojazdÛw:"
STR_DISP_OPT_CLOUDLETS,"Kou¯e:","Chmurki:"
STR_DISP_OPT_HWTL,"HardwarovÈ T&L:","SprzÍtowe T&L:"

STR_DISP_OPT_VOLUMES,"Hlasitost","G≥oúnoúÊ"
STR_DISP_OPT_MUSIC,"Hudba:","Muzyka:"
STR_DISP_OPT_EFFECTS,"Efekty:","Efekty:"
STR_DISP_OPT_VOICES,"R·dio:","Radio:"
STR_DISP_OPT_SAMPLING,"Frekvence vzorkov·nÌ:","CzÍstotliwoúÊ prÛbkowania:"
STR_DISP_OPT_HWACC,"Hardwarov· akcelerace:","Akceleracja sprzÍtowa:"
STR_DISP_OPT_EAX,"EAX:","EAX:"
STR_DISP_OPT_SINGLE_VOICE,"Hlasy:","G≥osy:"

COMMENT,"Displej nastavenÌ","Ekran konfiguracji"
STR_DISP_CONF_NAME,"N·zev","Nazwa"
STR_DISP_CONF_KEYS,"Kl·vesy","Klawisze"
