STR_DISP_ARCSENS_NAME,"Name:","Název:","Name:","Nazwa:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_ARCMARK_NAME,"Name:","Název:","Name:","Nazwa:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_ARCMARK_COLOR,"Color:","Barva:","Farbe:","Kolor:","Цвет:","Couleur :","Color:","Colore:"
STR_DISP_ARCMARK_ICON,"Icon","Ikona","Symbol","Ikona","Иконка","Icône","Icono","Icona"
STR_DISP_ARCMARK_RECT,"Rectangle","Obdélník","Rechteck","Prostokąt","Прямоугольник","Rectangle","Rectángulo","Rettangolo"
STR_DISP_ARCMARK_ELLIPSE,"Ellipse","Elipsa","Ellipse","Elipsa","Эллипс","Ellipse","Elipsis","Ellisse"
STR_DISP_ARCMARK_A,"Axis a","Hlavní poloosa","Achse A","Oś a","Ось х","Axe a","Eje a","Asse a"
STR_DISP_ARCMARK_B,"Axis b","Vedlejší poloosa","Achse B","Oś b","Ось y","Axe b","Eje b","Asse b"
STR_DISP_ARCMARK_ANGLE,"Angle:","Úhel:","Winkel:","Kąt:","Угол:","Angle :","Ángulo:","Angolo:"
STR_DISP_ARCMARK_TEXT,"Text:","Text:","Text:","Tekst:","Текст:","Texte :","Texto:","Testo:"
STR_DISP_TEMPL_SAVE,"Save mission","Uložit misi","Einsatz speichern","Zapisz misję","Сохранить задание","Sauvegarder mission","Guardar misión","Salva missione"
STR_DISP_TEMPL_LOAD,"Load mission","Načíst misi","Einsatz laden","Wczytaj misję","Загрузить задание","Charger mission","Cargar misión","Carica missione"
STR_DISP_TEMPL_NAME,"Mission name:","Název mise:","Einsatzname:","Nazwa misji:","Название задания:","Nom mission :","Nombre de la misión:","Nome missione:"
STR_DISP_TEMPL_MODE,"Save as:","Uložit jako:","Speichern unter:","Zapisz jako:","Сохранить как:","Sauv. sous :","Guardar como:","Salva come:"
STR_DISP_TEMPL_ISLAND,"Island:","Ostrov:","Insel:","Wyspa:","Остров:","Île :","Isla:","Isola:"
STR_DISP_INTEL_TITLE,"Intel","Intel","Aufklärung","Wywiad","Разведка","Rens.","Intel","Intelligence"
STR_DISP_INTEL_WEATHER,"Weather","Počasí","Wetter-","Pogoda","Погода","Météo","Clima","Meteo"
STR_DISP_INTEL_FORECAST,"Forecast","Předpověď","Vorhersage","Prognoza","Прогноз","Prévisions","Previsión","Previsioni"
STR_DISP_INTEL_DATE,"Date:","Datum:","Datum:","Data:","Дата:","Date :","Fecha:","Data:"
STR_DISP_INTEL_TIME,"Time:","Čas:","Uhrzeit:","Godzina:","Время:","Heure :","Hora:","Tempo:"
STR_DISP_INTEL_BRIEFING,"Briefing","Hlášení","Besprechung","Odprawa","Инструктаж","Briefing","Informe","Istruzioni"
STR_DISP_INTEL_NAME,"Name:","Název:","Name:","Nazwa:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_INTEL_DESC,"Description:","Popis:","Beschreibung:","Opis:","Описание:","Description :","Descripción:","Descrizione:"
STR_DISP_INTEL_NONE_FRIENDLY,"Nobody","nikým","Niemandem","Nikomu","Нет","Personne","Nadie","Nessuno"
STR_DISP_INTEL_WEST_FRIENDLY,"West","BLUFOR","Westen","Zachód","Запад","Ouest","Oeste","Ovest"
STR_DISP_INTEL_EAST_FRIENDLY,"East","OPFOR","Osten","Wschód","Восток","Est","Este","Est"
STR_DISP_INTEL_BOTH_FRIENDLY,"Everybody","všemi","Jedem","Wszystkim","Все","Tous","Todos","Tutti"
STR_DISP_GR_WAYPOINTS,"Waypoints (F1)","Body trasy (F1)","Wegpunkte (F1)","Punkty nawigacyjne (F1)","Марш. точки (F1)","Points passage (F1)","Puntos de referencia (F1)","Punti di passaggio (F1)"
STR_DISP_GR_SYNCHRONIZE,"Synchronize (F2)","Synchronizace (F2)","Abstimmen (F2)","Synchronizacja (F2)","Синхронизировать (F2)","Synchronisation (F2)","Sincronizar (F2)","Sincronizzazione (F2)"
STR_DISP_INTEL_EDIT_WEATHER,"Weather:","Počasí:","Wetter:","Pogoda","Погода","Météo :","Clima:","Meteo:"
STR_DISP_INTEL_EDIT_FORECAST,"Forecasted weather:","Předpověď počasí:","Wettervorhersage:","Prognozowana pogoda:","Прогноз погоды:","Météo prévue :","Previsión meteorológica:","Tempo previsto:"
STR_DISP_INTEL_EDIT_FOG,"Fog:","Mlha:","Nebel:","Mgła","Туман","Brouillard :","Niebla:","Nebbia:"
STR_DISP_INTEL_EDIT_FOGFORECAST,"Forecasted fog:","Předpověď mlhy:","Nebelvorhersage:","Prognozowana mgła:","Прогноз тумана:","Brouillard prévu :","Previsión de niebla:","Nebbia prevista:"
STR_DISP_INTEL_EDIT_GUERILLA,"RACS is friendly to:","Nezávislí spolupracují s:","RACS ist freundlich zu:","KKAS sprzyja:","Союзники КАКС:","CARS ami envers :","RACS simpatiza con:","CERS alleati con:"
STR_DISP_LOGIN_TITLE,"Select player:","Vybrat hráče:","Spieler auswählen:","Wybierz gracza","Выбрать игрока","Choix de joueur","Seleccionar jugador:","Seleziona giocatore"
STR_DISP_LOGIN_USER,"Players:","Hráči:","Spieler:","Gracze:","Игроки:","Joueurs :","Jugadores:","Giocatori:"
STR_DISP_NEW_USER_NAME,"Player name:","Jméno hráče:","Spielername:","Imię gracza:","Имя игрока:","Nom de joueur :","Nombre del jugador:","Nome giocatore:"
STR_DISP_NEW_USER_FACE,"Face:","Tvář:","Gesicht:","Twarz:","Лицо:","Visage :","Cara:","Volto:"
STR_DISP_NEW_USER_GLASSES,"Glasses:","Brýle:","Brille:","Okulary:","Очки:","Lunettes :","Gafas:","Occhiali:"
STR_DISP_NEW_USER_SPEAKER,"Speaker:","Řečník:","Sprecher:","Głośnik:","Голос:","Voix :","Voz:","Voce:"
STR_DISP_NEW_USER_PITCH,"Pitch:","Zabarvení:","Tonhöhe:","Ton:","Тон:","Ton :","Tono:","Tono:"
STR_DISP_NEW_USER_SQUAD,"Squad URL:","URL klanu:","Clanpage","URL drużyny:","URL отделения:","URL groupe :","URL Pelotón:","URL di squadra:"
STR_DISP_CHAT_TITLE,"Chat","Rozhovor","Chat","Czat","Чат","Discussion","Charlar","Parla"
STR_DISP_CHAT_SEND,"Send","Odeslat","Absenden","Wyślij","Послать","Envoyer","Enviar","Invia"
STR_DISP_INT_ABORT,"Abort","Přerušit","Abbrechen","Przerwij","Выход","Abandonner","Abortar","Abbandona"
STR_DISP_INT_CONTINUE,"Continue","Pokračovat","Weiter","Dalej","Продолжить","Continuer","Continuar","Continua"
STR_DISP_INT_OPTIONS,"Options","Nastavení","Optionen","Opcje","Настройки","Options","Opciones","Opzioni"
STR_DISP_INT_LOAD,"Load","Načíst","Laden","Wczytaj","Загрузить","Charger","Cargar","Carica"
STR_DISP_INT_SAVE,"Save","Uložit","Speichern","Zapisz","Сохранить","Sauvegarder","Guardar","Salva"
STR_DISP_INT_RETRY,"Retry","Opakovat","Neuer Versuch","Graj ponownie","Переиграть","Réessayer","Reintentar","Riprova"
STR_DISP_ME_ABORT,"End","Konec","Beenden","Koniec","Конец","Terminer","Fin","Fine"
STR_DISP_ME_RETRY,"Retry","Opakovat","Neuer Versuch","Spróbuj ponownie","Переиграть","Réessayer","Reintentar","Riprova"
STR_DISP_ME_LOAD,"Load","Načíst","Laden","Wczytaj","Загрузить","Charger","Cargar","Carica"
STR_DISP_HINTC_EX_CONTINUE,"Press SPACE to continue","Pokračujete stiskem MEZERNÍKU","Weiter mit LEERTASTE","Naciśnij SPACJĘ, by kontynuować","Нажмите ПРОБЕЛ для продолжения","Appuyer sur ESPACE pour continuer","Pulsa ESPACIO para continuar","Premi SPAZIO per continuare"
STR_MENU_STATUS,"Status","Stav","Status","Status","Статус","Situation","Estado","Situazione"
STR_REPLY_MENU,"Reply","Odpověď","Antworten","Odpowiedz","Ответ","Répondez","Responder","Risposta"
STR_REPLY_DONE,"Done","Hotovo","Erledigt","Wykonane","Готово","Effectué","Recibido","Effettuato"
STR_REPLY_FAIL,"Fail","Selhalo","Negativ","Porażka","Провал","Échec","Error","Non è possibile"
STR_REPLY_COPY,"Copy","Rozumím","Verstanden","Zrozumiałem","Принято","Reçu","Copiar","Ricevuto"
STR_REPLY_REPEAT,"Repeat","Opakuj","Wiederholen","Powtórz","Повторите","Répétez","Repetir","Ripeti"
STR_REPLY_WHERE_ARE_YOU,"Where Are You?","Kde jsi?","Wo sind Sie?","Gdzie jesteś?","Где вы?","Où êtes-vous ?","¿Dónde estás?","Dove sei?"
STR_REPLY_ENGAGING,"Attacking","Útočím","Greife an!","Atakuję","Атакуем","Attaque en cours","Atacando","Attacco in corso"
STR_REPLY_UNDER_FIRE,"I'm under fire","Jsem pod palbou","Unter Beschuss","Pod ostrzałem","Я под огнем","On me tire dessus","Me disparan","Mi sparano addosso"
STR_REPLY_HIT,"I'm hit","Dostal jsem to","Bin getroffen","Dostałem","В меня попали","Je suis touché","Me han dado","Sono stato colpito"
STR_REPLY_ONE_LESS,"One Less","Je po něm","Einer weniger","Jednego mniej","Одним меньше","Un de moins","Uno menos","Uno in meno"
STR_REPLY_FIREREADY,"Ready to fire","K palbě připraven","Bereit zum Feuern","Gotowy do strzału","Готов стрелять","Prêt à tirer","Listo para disp.","Pronto a sparare"
STR_REPLY_FIRENOTREADY,"Cannot fire","Nemohu pálit","Kann nicht feuern","Nie mogę strzelać","Не могу стрелять","Tir impossible","Incapaz de disparar","Non è possibile sparare"
STR_REPLY_KILLED,"... is down","... je mrtev","... ist am Boden","... dostał","... убит","... est à terre","...ha caído","... è a terra"
STR_REPLY_INJURED,"Injured","Jsem raněn","Verwundet","Ranny","Меня ранили","Blessé","Herido","Ferito"
STR_REPLY_FUEL_LOW,"Fuel low","Dochází palivo","Treibstoff knapp","Mało paliwa","Мало горючего","Carburant en baisse","Bajo en combustible","Poco carburante"
STR_REPLY_AMMO_LOW,"Ammo low","Dochází munice","Munition knapp","Mało amunicji","Мало патронов","Munitions en baisse","Bajo en munición","Poche munizioni"
STR_CALL_SUPPORT,"Call support","Zavolej podporu","Unterstützung anfordern","Wezwij wsparcie","Вызвать поддержку","Demander soutien","Pedir ayuda","Richiesta supporto"
STR_SUPPORT_MENU,"Call support","Povolat podporu","Unterstützung anfordern","Wezwij wsparcie","Вызвать поддержку","Demander soutien","Pedir ayuda","Richiesta supporto"
STR_SUPPORT_MEDIC,"Medic","Zdravotník","Sanitäter","Sanitariusz","Врач","Infirmier","Paramédico","Medico"
STR_SUPPORT_REPAIR,"Repair truck","Opravářský vůz","Reparaturlastwagen","Wóz naprawczy","Рем. грузовик","Camion dépannage","Reparar camión","Riparare camion"
STR_SUPPORT_REARM,"Rearm truck","Muniční vůz","Munitionslastwagen","Wóz z amunicją","Груз. с оружием","Camion munitions","Rearmar camión","Riarmare camion"
STR_SUPPORT_REFUEL,"Refuel truck","Cisterna","Tanklastwagen","Cysterna","Автозаправщик","Camion carburant","Repostar camión","Rifornire camion"
STR_SUPPORT_DONE,"Done","Hotovo","Erledigt","Gotowe","Готово","Effectué","Completado","Effettuato"
STR_COMMAND,"Command","Příkaz","Befehl","Rozkaz","Команда","Ordre","Orden","Comando"
STR_MOVE_OTHER,"Other","Další","Andere","Inny","Прочее","Autre","Otro","Altro"
STR_MOVE_DIR,"Move Direction","Přesun směrem","Bewegungsrichtung","Ruch w kierunku","Направление движения","Direction dépl.","Dirección avance","Direzione di movimento"
STR_WATCH_DIR,"Watch Direction","Sledovat směr","Richtung beobachten","Kierunek obserwacji","Направление обзора","Observer direction","Vigilar dirección","Osservare direzione"
STR_MOVE_N,"N","S","N","Pn.","Ю","N","N","N"
STR_MOVE_NE,"NE","SV","NO","Pn.-wsch.","СВ","NE","NE","NE"
STR_MOVE_E,"E","V","O","Wsch.","В","E","E","E"
STR_MOVE_SE,"SE","JV","SO","Płd.-wsch.","ЮВ","SE","SE","SE"
STR_MOVE_S,"S","J","S","Płd.","Ю","S","S","S"
STR_MOVE_SW,"SW","JZ","SW","Płd.-zach.","ЮЗ","SO","SO","SO"
STR_MOVE_W,"W","Z","W","Zach.","З","O","O","O"
STR_MOVE_NW,"NW","SZ","NW","Pn.-zach.","СЗ","NO","NO","NO"
STR_MOVE_DIST,"Move Distance","Vzdálenost","Distanz","Dystans ruchu","Дистанция","Distance dépl.","Distancia movimiento","Distanza di movimento"
STR_MOVE_50,"50 m","50 m","50 m","50 m","50 м","50 m","50 m","50 m"
STR_MOVE_100,"100 m","100 m","100 m","100 m","100 м","100 m","100 m","100 m"
STR_MOVE_200,"200 m","200 m","200 m","200 m","200 м","200 m","200 m","200 m"
STR_MOVE_500,"500 m","500 m","500 m","500 m","500 м","500 m","500 m","500 m"
STR_MOVE_1000,"1 km","1 km","1 km","1 km","1 км","1 km","1 km","1 km"
STR_MOVE_2000,"2 km","2 km","2 km","2 km","2 км","2 km","2 km","2 km"
STR_TEAM,"Team","Tým","Team","Drużyna","Команда","Équipe","Pelotón","Squadra"
STR_ASSIGN,"Assign","Přiřadit","Zuordnen","Przydziel","Назначить","Affecter","Asignar","Assegna"
STR_ASSIGN_MAIN,"Assign White","Přiřadit k bílým","Weiß zuordnen","Przydziel biały","Белый","Affecter à blanche","Asignar blanco","Assegna bianco"
STR_ASSIGN_RED,"Assign Red","Přiřadit červeným","Rot zuordnen","Przydziel czerwony","Красный","Affecter à rouge","Asignar rojo","Assegna rosso"
STR_ASSIGN_GREEN,"Assign Green","Přiřadit zeleným","Grün zuordnen","Przydziel zielony","Зеленый","Affecter à verte","Asignar verde","Assegna verde"
STR_ASSIGN_BLUE,"Assign Blue","Přiřadit modrým","Blau zuordnen","Przydziel niebieski","Синий","Affecter à bleue","Asignar azul","Assegna blu"
STR_ASSIGN_YELLOW,"Assign Yellow","Přiřadit k žlutým","Gelb zuordnen","Przydziel żółty","Желтый","Affecter à jaune","Asignar amarillo","Assegna giallo"
STR_DISSOLVETEAM,"Dissolve Team","Rozpustit tým","Team auflösen","Rozwiąż drużynę","Распустить команду","Dissoudre équipe","Disolver pelotón","Sciogli squadra"
STR_XBOX_WATCH_DIR,"Watch","Sledovat","Beobachten","Uwaga","Смотреть","Surveiller","Reloj","Osserva"
STR_WATCH_TARGET,"Target","Cíl","Ziel","Cel","Цель","Cible","Objetivo","Obiettivo"
STR_LOOK_AROUND,"Scan horizon","Sledovat horizont","Horizont absuchen","Obserwujcie horyzont","Осмотреть горизонт","Balayer horizon","Escanear horizonte","Scruta orizzonte"
STR_HIDE_MENU,"Hide menu","Skrýt nabídku","Menü verdecken","Ukryj menu","Спрятать меню","Masquer menu","Ocultar menú","Nascondi menu"
STR_REPORT,"Report Status","Zpráva","Lagebericht","Raport sytuacyjny","Доложите обстановку","Rendre compte situation","Estado del informe","Rapporto situazione"
STR_CREDIT_FP2ENGINE,"Engine","Engine","Engine","Engine","Движок","Moteur","Motor","Motore"
STR_CREDIT_COPYRIGHT,"Copyright (c) 2007 Bohemia Interactive Studio","Autorská práva (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio","Copyright (c) 2006 Bohemia Interactive Studio"
STR_CREDIT_RIGHTS,"All rights reserved","Všechna práva vyhrazena","Alle Rechte vorbehalten","All rights reserved","Все права защищены","Tous droits réservés","Todos los derechos reservados","Tutti i diritti riservati"
STR_CREDITS06,"Motion Capture Performance","Animace pohybu","Motion Capture-Modell","Aktorzy Motion Capture","Motion Capture","Performance motion capture","Rendimiento de captura de imagen","Prestazioni motion capture"
STR_CREDITS07,"Additional Tools Programming","Pomocní programátoři","Programmierung zusätzlicher Tools","Programowanie dodatkowych narzędzi","Дополнительное программирование утилит","Programmation outils complémentaires","Programación herramientas adicionales","Programmazione strumenti aggiuntivi"
STR_CREDITS08,"Original Music Score","Původní hudba","Titelmusik","Muzyka tytułowa","Композитор","Musique originale","Música original","Musica originale"
STR_CREDITS09,"Additional Music Tracks","Hudba - pomocné zpracování","Weitere Musik","Dodatkowe ścieżki muzyczne","Дополнительные музыкальные треки","Musique complémentaire","Pistas de música adicionales","Tracce musicali aggiuntive"
STR_CREDITS10,"Sound Effects","Zvukové efekty","Soundeffekte","Efekty dźwiękowe","Звуковые эффекты","Effets sonores","Efectos de sonido","Effetti sonori"
STR_CREDITS11,"Special Thanks","Zvláštní poděkování náleží","Besonderer Dank an","Specjalne podziękowania","Особая благодарность","Remerciements particuliers à","Agradecimientos especiales","Ringraziamenti speciali"
STR_CREDITSN05,"Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná","Štepán Kment\nMelanie Novotná"
STR_CREDITSN06,"Bohumil Trnka","Bohumil Trnka","Bohumil Trnka","Bohumil Trnka","Bohumil Trnka","Bohumil Trnka","Bohumil Trnka","Bohumil Trnka"
STR_CREDITSN07,"Ondřej Novák\nLubo‘ Pácal","Ondřej Novák\nLuboš Pácal","Ondřej Novák\nLubo‘ Pácal","Ondřej Novák\nLuboš Pácal","Ondřej Novák\nLubo‘ Pácal","Ondřej Novák\nLubo‘ Pácal","Ondřej Novák\nLubo‘ Pácal","Ondřej Novák\nLubo‘ Pácal"
STR_CREDITSN08,"Ondřej Matějka","Ondřej Matějka","Ondřej Matějka","Ondřej Matějka","Ondřej Matějka","Ondřej Matějka","Ondřej Matějka","Ondřej Matějka"
STR_CREDITSN09,"Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide","Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide"
STR_CREDITSN09a,"(Dedicated to memory of Sgt. Tom Birnie)","(Věnováno památce seržanta Toma Birnieho)","(Zum Gedenken an Sgt. Tom Birnie)","(Dedykowane pamięci sierżanta Toma Birnie)","(Dedicated to memory of Sgt. Tom Birnie)","(dédié à la mémoire du Sgt Tom Birnie)","(Dedicado a la memoria del Sargento Tom Birnie)","(dedicato alla memoria del serg. Tom Birnie)"
STR_CREDITSN09b,"Composed by Lagettie / Reid and performed by \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Složil Lagettie / Provedení \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Musik/Text: Lagettie/Reid. Gespielt von: \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Skomponował Lagettie / Reid w wykonaniu \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Composed by Lagettie / Reid and performed by \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Composé par Lagettie / Reid et exécuté par \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Compuesto por Lagettie / Reid e interpretado por \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Composta da Lagettie / Reid ed eseguita da \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)"
STR_CREDITSN09c,"Seventh","Seventh","Seventh","Seventh","Seventh","Seventh","Seventh","Seventh"
STR_CREDITSN10,"Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV","Robert Stevenson\nOndřej Matějka\nBeaufort C. Addison IV"
STR_CREDITSN11,"AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore","AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíček\nFernando Santamaria\nVladan Marek\nAdam Moore"
STR_CREDITSN12,"Publisher","Vydavatel","Peter Games:\n\nMorris Hebecker\nAlexander Schmidt","Wydawca","Издатель","Éditeur","Distribuidor","Pubblicato da"
STR_CREDITS12,"Published by","Vyrobilo","Veröffentlicht von","Wydane przez","Издательство","Édité par","Publicado por","Pubblicato da"
STR_CREDITS13,"External Producer","Externí produkční","Externe Produktion","Producent zewnętrzny","Внешний продюсер","Producteur extérieur","Productor externo","Produttore esterno"
STR_CREDITS14,"Design/Script","Design a skript","Design/Skript","Projekt/Skrypt","Дизайн/Сценарий","Conception/script","Diseño/Guión","Design/Sceneggiatura"
STR_CREDITS15,"QA/Compatibility","Kvalita a kompatibilita","QS/Kompatibilität","Kontrola jakości/Kompatybilność","Отдел технического контроля","AQ/compatibilité","CC/Compatibilidad","C.Q./Compatibilità"
STR_CREDITS16,"Marketing/PR","Marketing a PR","Marketing/PR","Marketing/PR","Маркетинг/Связи с общественностью","Marketing/RP","Marketing/RR.PP.","Marketing/PR"
STR_CREDITS17,"Voice Processing","Zpracování mluveného slova","Sprachbearbeitung","Przetwarzanie głosów","Обработка звука","Traitement des voix","Procesamiento de voz","Elaborazione voci"
STR_CREDITS18,"Voice Artists","Mluvené slovo – obsazení","Sprecher","Głosów użyczyli","Актеры озвучки","Voix","Artistas de doblaje","Voci"
STR_CREDITS19,"Localisation","Lokalizace","Lokalisierung","Lokalizacja","Локализация","Localisation","Localización","Localizzazione"
STR_CREDITS20,"Localisation Testing","Testování lokalizace","Lokalisierungstest","Testowanie lokalizacji","Тестирование локализации","Tests de localisation","Pruebas de localización","Test di localizzazione"
STR_CREDITS21,"Business/Legal","Obchodní a právní oddělení","Geschäftliches/Rechtliches","Biznes/Obsługa prawna","Административная и юридическая работа","Affaires/juridique","Empresa/Legal","Affari/Legge"
STR_CREDITS22,"Special Thanks","Zvláštní poděkování náleží","Besonderer Dank an","Specjalne podziękowania","Особая благодарность","Remerciements particuliers à","Agradecimientos especiales","Ringraziamenti speciali"
STR_CREDITS23,"Copyright © 2004 Bohemia Interactive Studio. All rights reserved.","Autorská práva © 2004 Bohemia Interactive Studio. Všechna práva vyhrazena.","Copyright © 2004 Bohemia Interactive Studio. Alle Rechte vorbehalten.","Copyright © 2004 Bohemia Interactive Studio. Wszelkie prawa zastrzeżone.","Copyright © 2004 Bohemia Interactive Studio. Все права защищены.","Copyright © 2004 Bohemia Interactive Studio. Tous droits réservés.","Copyright © 2004 Bohemia Interactive Studio. Todos los derechos reservados.","Copyright © 2004 Bohemia Interactive Studio. Tutti i diritti riservati."
STR_CREDITS24,"Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít.","Věnováno těm, kteří zemřeli,\n abychom my mohli žít."
STR_CREDITSN13,"Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop","Richard I Blenkinsop"
STR_CREDITSN14,"Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith","Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith"
