COMMENT,"English","Czech","German","Polish","Russian","French","Spanish","Italian"
STR_SENT_CMD_HEAL_1,"%1.1, HEAL AT THAT %2 AT %3","%1.1, OŠETŘI SE - %2 NA POZICI %3","%1.1, BEI %2 AUF %3 HEILEN","%1.1 WYLECZYĆ SIĘ PRZY %2 %3","%1.1, окажите мед. помощь:  %2 в зоне %3!","%1.1, SOIGNEZ CE(TTE) %2 À %3","%1.1, CURA EN %2 EN %3","%1.1, CURARE PRESSO %2 A %3"
STR_SENT_CMD_HEAL_FAR_1,"%1.1, HEAL AT %2","%1.1, OŠETŘIT SE: %2","%1.1, BEI %2 HEILEN","%1.1 WYLECZYĆ SIĘ PRZY %2","%1.1, окажите мед. помощь в зоне %2!","%1.1, SOIGNEZ À %2","%1.1, CURAR EN %2","%1.1, CURARE A %2"
STR_SENT_CMD_HEAL_AT_1,"%1.1, GO TO %2 %3","%1.1, JDĚTE NA POZICI %2 %3","%1.1, ZUM %2 AUF %3 GEHEN","%1.1 RUSZAĆ DO %2 %3","%1.1, двигайтесь в зону: %2 %3!","%1.1, ALLEZ À %2 %3","%1.1, VE A %2 %3","%1.1, ANDARE A %2 %3"
STR_SENT_CMD_REPAIR_1,"%1.1, REPAIR AT %2 %3","%1.1, OPRAVTE SE NA  %2 %3","%1.1, BEI %2 AUF %3 REPARIEREN","%1.1 DOKONAĆ NAPRAW W %2 %3","%1.1, требуется ремонт в зоне: %2 %3!","%1.1, RÉPAREZ À %2 %3","%1.1, REPARA EN %2 %3","%1.1, RIPARARE A %2 %3"
STR_SENT_CMD_REPAIR_FAR_1,"%1.1, REPAIR AT %2","%1.1, OPRAVTE SE NA POZICI %2","%1.1, BEI %2 REPARIEREN","%1.1 DOKONAĆ NAPRAW W %2","%1.1, нужен ремонт: %2!","%1.1, RÉPAREZ À %2","%1.1, REPARA EN %2","%1.1, RIPARARE A %2"
STR_SENT_CMD_REPAIR_AT_1,"%1.1, REPAIR AT THAT %2 AT %3","%1.1, OPRAVTE SE - %2 %3","%1.1, BEI %2 %3 REPARIEREN","%1.1 DOKONAĆ NAPRAW W TYM %2 %3","%1.1, нужен ремонт: %2 %3!","%1.1, RÉPAREZ CE(TTE) %2 À %3","%1.1, REPARA EN %2 EN %3","%1.1, RIPARARE PRESSO %2 A %3"
STR_SENT_CMD_REFUEL_1,"%1.1, REFUEL AT %2 %3","%1.1, DOTANKUJTE NA %2 %3","%1.1, BEI %2 %3 AUFTANKEN","%1.1 UZUPEŁNIĆ PALIWO W %2 %3","%1.1, требуется дозаправка в зоне: %2 %3!","%1.1, RAVITAILLEZ À %2 %3","%1.1, REPOSTA EN %2 %3","%1.1, RIFORNIRE A %2 %3"
STR_SENT_CMD_REFUEL_FAR_1,"%1.1, REFUEL AT %2","%1.1, DOTANKUJTE NA %2","%1.1, BEI %2 AUFTANKEN","%1.1 UZUPEŁNIĆ PALIWO W %2","%1.1, нужна дозаправка: %2!","%1.1, RAVITAILLEZ À %2","%1.1, REPARA EN %2","%1.1, RIFORNIRE A %2"
STR_SENT_CMD_REFUEL_AT_1,"%1.1, REFUEL AT THAT %2 AT %3","%1.1, DOTANKUJTE - %2 %3","%1.1, BEI %2 %3 AUFTANKEN","%1.1 UZUPEŁNIĆ PALIWO W %2 %3","%1.1, нужна дозаправка: %2 %3!","%1.1, RAVITAILLEZ CE(TTE) À %3","%1.1, REPARA EN %2 EN %3","%1.1, RIFORNIRE PRESSO %2 A %3"
STR_SENT_CMD_REARM_1,"%1.1, REARM AT %2 %3","%1.1, DOPLNIT MUNICI - %2 NA %3","%1.1, BEI %2 %3 NEU BEWAFFNEN","%1.1 UZUPEŁNIĆ AMUNICJĘ W %2 %3","%1.1, требуются боеприпасы в зоне: %2 %3!","%1.1, RÉARMEZ À %2 %3","%1.1, REARMA EN %2 %3","%1.1, RIARMARE A %2 %3"
STR_SENT_CMD_REARM_FAR_1,"%1.1, REARM AT %2","%1.1, DOPLNIT MUNICI NA %2","%1.1, BEI %2 NEU BEWAFFNEN","%1.1 UZUPEŁNIĆ AMUNICJĘ W %2","%1.1, нужны боеприпасы: %2!","%1.1, RÉARMEZ À %2","%1.1, REARMA EN %2","%1.1, RIARMARE A %2"
STR_SENT_CMD_REARM_AT_1,"%1.1, REARM AT %3","%1.1, DOPLNIT MUNICI NA %3","%1.1, BEI %3 NEU BEWAFFNEN","%1.1 UZUPEŁNIĆ AMUNICJĘ W %3","%1.1, нужны боеприпасы в зоне %3!","%1.1, RÉARMEZ À %3","%1.1, REPARA EN %3","%1.1, RIARMARE A %3"
STR_SENT_CMD_SUPPORT_1,"%1.1, SUPPORT AT %2 %3","%1.1, PODPORA: %2 %3","%1.1, BEI %2 %3 UNTERSTÜTZEN","%1.1 WSPARCIE PRZY %2 %3","%1.1, требуется поддержка в зоне: %2 %3!","%1.1, SOUTENEZ À %2 %3","%1.1, APOYO EN %2 %3","%1.1, OFFRIRE SUPPORTO A %2 %3"
STR_SENT_CMD_SUPPORT_FAR_1,"%1.1, SUPPORT AT %2","%1.1, POSKYTNOUT PODPORU NA: %2","%1.1, BEI %2 UNTERSTÜTZEN","%1.1 WSPARCIE PRZY %2","%1.1, нужна поддержка: %2!","%1.1, SOUTENEZ À %2","%1.1, APOYO EN %2","%1.1, OFFRIRE SUPPORTO A %2"
STR_SENT_CMD_SUPPORT_AT_1,"%1.1, SUPPORT THAT %2 AT %3","%1.1, POSKYTNOUT PODPORU: %2 NA %3","%1.1, %2 BEI %3 UNTERSTÜTZEN","%1.1 WESPRZEĆ %2 %3","%1.1, нужна поддержка: %2 %3!","%1.1, SOUTENEZ CE(TTE) %2 À %3","%1.1, APOYO EN %2 EN %3","%1.1, OFFRIRE SUPPORTO A %2 A %3"
STR_SENT_CMD_TAKE_WEAPON_1,"%1.1, TAKE THAT %2 FROM %3 %4","%1.1, VEZMĚTE %2 OD - %3","%1.1, %2 AUF %3 %4 NEHMEN","%1.1 WZIĄĆ %2 OD %3 %4","%1.1, заберите %2 из %3%4!","%1.1, PRENEZ CE(TTE) %2 SUR %3 %4","%1.1, COGE %2 DE %3 %4","%1.1, PRENDERE %2 DA %3 %4"
STR_SENT_CMD_TAKE_WEAPON_FAR_1,"%1.1, TAKE THAT %2 FROM %3","%1.1, VEZMĚTE SI %2 OD - %3","%1.1, %2 AUF %3 NEHMEN","%1.1 WZIĄĆ %2 OD %3","%1.1, заберите %2 из %3!","%1.1, PRENEZ CE(TTE) %2 SUR %3","%1.1, COGE %2 DE %3","%1.1, PRENDERE %2 DA %3"
STR_SENT_CMD_TAKE_WEAPON_AT_1,"%1.1, TAKE THAT %2 FROM THAT %3 AT %4","%1.1, VEZMĚTE %2 OD - %3, NA POZICI %4","%1.1, %2 AUS DEM %3 AUF %4 NEHMEN","%1.1 WZIĄĆ  %2 OD  %3 %4","%1.1, заберите %2, %3 из %4!","%1.1, PRENEZ CE(TTE) %2 SUR CE(TTE) %3 À %4","%1.1, COGE %2 DE %3 EN %4","%1.1, PRENDERE %2 DA %3 A %4"
STR_SENT_CMD_TAKE_MAGAZINE_1,"%1.1, TAKE THAT MAGAZINE FROM %2 %3","%1.1, VEZMĚTE ZÁSOBNÍK OD - %2 %3","%1.1, MAGAZIN NEHMEN VON %2 %3","%1.1 WZIĄĆ MAGAZYNEK OD %2 %3","%1.1, заберите боеприпасы. %2 %3!","%1.1, PRENEZ CE CHARGEUR SUR %2 %3","%1.1, COGE ESE CARGADOR DE %2 %3","%1.1, PRENDERE QUEL CARICATORE DA %2 %3"
STR_SENT_CMD_TAKE_MAGAZINE_FAR_1,"%1.1, TAKE THAT MAGAZINE FROM %2","%1.1, DOPLŇTE MUNICI NA %2","%1.1, MAGAZIN NEHMEN VON %2","%1.1 WZIĄĆ MAGAZYNEK OD %2","%1.1, заберите боеприпасы. %2!","%1.1, PRENEZ CE CHARGEUR SUR %2","%1.1, COGE ESE CARGADOR DE %2","%1.1, PRENDERE QUEL CARICATORE DA %2"
STR_SENT_CMD_TAKE_MAGAZINE_AT_1,"%1.1, TAKE THAT MAGAZINE FROM THAT %2 AT %3","%1.1, DOPLŇTE MUNICI OD - %2 NA POZICI %3","%1.1, DIESES MAGAZIN AUS %2 AUF %3 NEHMEN.","%1.1 WZIĄĆ MAGAZYNEK OD %2 %3","%1.1, заберите боеприпасы. %2 в зоне %3!","%1.1, PRENEZ CE CHARGEUR SUR CE(TTE) %2 À %3","%1.1, COGE ESE CARGADOR DE %2 EN %3","%1.1, PRENDERE QUEL CARICATORE DA %2 A %3"
STR_SENT_CMD_DROP_WEAPON_1,"%1.1, DROP THAT %2","%1.1, ODLOŽIT %2","%1.1, LASSEN SIE DAS %2 FALLEN","%1.1 WYRZUCIĆ %2","%1.1, оставьте %2!","%1.1, LÂCHEZ CE(TTE) %2","%1.1, SUELTA %2","%1.1, LASCIARE %2"
STR_SENT_CMD_DROP_MAGAZINE_1,"%1.1, DROP THAT MAGAZINE","%1.1, ODLOŽTE TEN ZÁSOBNÍK","%1.1, LASSEN SIE DAS MAGAZIN FALLEN","%1.1 WYRZUCIĆ MAGAZYNEK","%1.1, оставьте магазин с боеприпасами.","%1.1, LÂCHEZ CE CHARGEUR","%1.1, SUELTA ESE CARGADOR","%1.1, LASCIARE QUEL CARICATORE"
STR_SENT_CMD_TAKE_FLAG_1,"%1.1, TAKE THE FLAG AT %2 %3","%1.1, ZABERTE VLAJKU NA POZICI %2 %3","%1.1, FLAGGE BEI %2 AUF %3 NEHMEN","%1.1 ZABRAĆ FLAGĘ Z %2 %3","%1.1, возьмите флаг в зоне %2 %3!","%1.1, PRENEZ LE DRAPEAU À %2 %3","%1.1, COGE LA BANDERA EN %2 %3","%1.1, PRENDERE LA BANDIERA A %2 %3"
STR_SENT_CMD_TAKE_FLAG_FAR_1,"%1.1, TAKE THE FLAG AT %2","%1.1, ZABERTE VLAJKU NA POZICI %2","%1.1, FLAGGE BEI %2 NEHMEN","%1.1 ZABRAĆ FLAGĘ Z %2","%1.1, возьмите флаг в зоне %2!","%1.1, PRENEZ LE DRAPEAU À %2","%1.1, COGE LA BANDERA EN %2","%1.1, PRENDERE LA BANDIERA A %2"
STR_SENT_CMD_TAKE_FLAG_AT_1,"%1.1, TAKE THE FLAG AT THAT %2 AT %3","%1.1, ZABERTE VLAJKU OD - %2 NA POZICI %3","%1.1, FLAGGE BEI %2 AUF %3 NEHMEN","%1.1 ZABRAĆ FLAGĘ Z %2 %3","%1.1, возьмите флаг. %2 в зоне %3!","%1.1, PRENEZ LE DRAPEAU À CE(TTE) %2 À %3","%1.1, COGE LA BANDERA EN %2 EN %3","%1.1, PRENDERE LA BANDIERA PRESSO %2 A %3"
STR_SENT_CMD_RETURN_FLAG_1"%1.1,"RETURN THE FLAG AT %2 %3""","VRAŤTE VLAJKU NA POZICI %2 %3""","%1.1, FLAGGE BEI %2 %3 ZURÜCKBRINGEN","ZANIEŚĆ FLAGĘ DO %2 %3""","Верните флаг в зону %2 %3!","%1.1, RAPPORTEZ LE DRAPEAU À %2 %3","DEVUELVE LA BANDERA EN %2 %3","RIPORTARE LA BANDIERA A %2 %3"
STR_SENT_CMD_RETURN_FLAG_FAR_1,"%1.1, RETURN THE FLAG AT %2","%1.1, VRAŤTE VLAJKU NA POZICI %2","%1.1, FLAGGE BEI %2 ZURÜCKBRINGEN","%1.1 ZANIEŚĆ FLAGĘ DO %2","%1.1, верните флаг в зону %2!","%1.1, RAPPORTEZ LE DRAPEAU À %2","%1.1, DEVUELVE LA BANDERA EN %2","%1.1, RIPORTARE LA BANDIERA A %2"
STR_SENT_CMD_RETURN_FLAG_AT_1,"%1.1, RETURN THE FLAG AT THAT %2 AT %3","%1.1, VRAŤTE VLAJKU NA %2 U %3","%1.1, FLAGGE BEI %2 AUF %3 ZURÜCKBRINGEN","%1.1 ZANIEŚĆ FLAGĘ DO %2 %3","%1.1, верните флаг. %2  в зоне %3!","%1.1, RAPPORTEZ LE DRAPEAU À CE(TTE) À %3","%1.1, DEVUELVE LA BANDERA EN ESE %2 EN %3","%1.1, RIPORTARE LA BANDIERA PRESSO %2 A %3"
STR_SENT_CMD_EJECT_1,"%1.1, EJECT!","%1.1, VYSKOČIT!","%1.1, RAUS DA!","%1.1 KATAPULTUJ SIĘ!","%1.1, катапультируйтесь!","%1.1, ÉJECTION !","%1.1, ¡EXTRACCIÓN!","%1.1, EIEZIONE!"
STR_SENT_CMD_PLACE_CHARGE_1,"%1.1, PLACE A CHARGE","%1.1, UMÍSTIT NÁLOŽ","%1.1, SPRENGSATZ PLATZIEREN","%1.1 PODŁOŻYĆ ŁADUNEK","%1.1, установите заряд!","%1.1, PLACEZ UNE CHARGE","%1.1, COLOCA UNA CARGA","%1.1, PIAZZARE UNA CARICA"
STR_SENT_CMD_DETONATE_1,"%1.1, DETONATE THE CHARGES","%1.1, ODPÁLIT NÁLOŽ","%1.1, SPRENGSATZ AUSLÖSEN","%1.1 ZDETONOWAĆ ŁADUNKI","%1.1, активируйте заряд!","%1.1, FAITES EXPLOSER LES CHARGES","%1.1, DETONA LAS CARGAS","%1.1, DETONARE LE CARICHE"
STR_SENT_CMD_ACTIVATE_TIMER_1,"%1.1, ACTIVATE THE TIMER","%1.1, AKTIVOVAT ČASOVACÍ SPÍNAČ","%1.1, ZEITZÜNDER AKTIVIEREN","%1.1 URUCHOMIĆ ZAPALNIK","%1.1, активируйте таймер!","%1.1, ACTIVEZ LA MINUTERIE","%1.1, ACTIVA EL TEMPORIZADOR","%1.1, ATTIVARE IL TIMER"
STR_SENT_CMD_DEACTIVATE_BOMB_1,"%1.1, DEACTIVATE THAT BOMB","%1.1, DEAKTIVOVAT BOMBU","%1.1, BOMBE ENTSCHÄRFEN","%1.1 ROZBROIĆ BOMBĘ","%1.1, обезвредьте бомбу!","%1.1, DÉSAMORCEZ CETTE BOMBE","%1.1, DESACTIVA ESA BOMBA","%1.1, DISATTIVARE QUELLA BOMBA"
STR_SENT_CMD_DEACTIVATE_MINE_1,"%1.1, DEACTIVATE THAT MINE","%1.1, DEAKTIVOVAT MINU","%1.1, MINE ENTSCHÄRFEN","%1.1 ROZBROIĆ TĘ MINĘ","%1.1, обезвредьте мину!","%1.1, DÉSAMORCEZ CETTE MINE","%1.1, DESACTIVA ESA MINA","%1.1, DISATTIVARE QUELLA MINA"
STR_SENT_CMD_TAKE_MINE_1,"%1.1, PICK UP THAT MINE","%1.1, ZDVIHNOUT MINU","%1.1, MINE AUFHEBEN","%1.1 ZABRAĆ TĘ MINĘ","%1.1, поднимите мину!","%1.1, RAMASSEZ CETTE MINE","%1.1, RECOGE ESA MINA","%1.1, PRENDERE QUELLA MINA"
STR_SENT_CMD_LIGHT_FIRE_1,"%1.1, LIGHT THAT FIRE AT %2 %3","%1.1, ZAPÁLIT OHEŇ NA POZICI %2 %3","%1.1, DAS FEUER BEI %2 %3 ENTZÜNDEN","%1.1 ROZPALIĆ OGIEŃ PRZY %2 %3","%1.1, зажгите огонь в зоне %2 %3!","%1.1, ALLUMEZ CET INCENDIE À %2 %3","%1.1, ENCIENDE ESE FUEGO EN %2 %3","%1.1, ACCENDERE QUEL FUOCO A %2 %3"
STR_SENT_CMD_LIGHT_FIRE_FAR_1,"%1.1, LIGHT THAT FIRE AT %2","%1.1, ZAPÁLIT OHEŇ NA POZICI %2","%1.1, DAS FEUER BEI %2 ENTZÜNDEN","%1.1 ROZPALIĆ OGIEŃ PRZY %2","%1.1, зажгите огонь в зоне %2!","%1.1, ALLUMEZ CET INCENDIE À %2","%1.1, ENCIENDE ESE FUEGO EN %2","%1.1, ACCENDERE QUEL FUOCO A %2"
STR_SENT_CMD_LIGHT_FIRE_AT_1,"%1.1, LIGHT THAT FIRE AT %3","%1.1, ZAPÁLIT OHEŇ NA POZICI %3","%1.1, DAS FEUER AUF %3 ENTZÜNDEN","%1.1 ROZPALIĆ OGIEŃ PRZY %3","%1.1, зажгите огонь в зоне %3!","%1.1, ALLUMEZ CET INCENDIE À %3","%1.1, ENCIENDE ESE FUEGO EN %3","%1.1, ACCENDERE QUEL FUOCO A %3"
STR_SENT_CMD_PUT_OUT_FIRE_1,"%1.1, PUT OUT THAT FIRE AT %2 %3","%1.1, UHASIT OHEŇ NA POZICI %2 %3","%1.1, DAS FEUER BEI %2 %3 LÖSCHEN","%1.1 ZGASIĆ OGIEŃ PRZY %2 %3","%1.1, погасите огонь в зоне %2 %3!","%1.1, ÉTEIGNEZ CET INCENDIE À %2 %3","%1.1, APAGA ESE FUEGO EN %2 %3","%1.1, ESTINGUERE QUEL FUOCO A %2 %3"
STR_SENT_CMD_PUT_OUT_FIRE_FAR_1,"%1.1, PUT OUT THAT FIRE AT %2","%1.1, UHASIT OHEŇ NA POZICI %2","%1.1, DAS FEUER BEI %2 LÖSCHEN","%1.1 ZGASIĆ OGIEŃ PRZY %2","%1.1, погасите огонь в зоне %2!","%1.1, ÉTEIGNEZ CET INCENDIE À %2","%1.1, ENCIENDE ESE FUEGO EN %2","%1.1, ESTINGUERE QUEL FUOCO A %2"
STR_SENT_CMD_PUT_OUT_FIRE_AT_1,"%1.1, PUT OUT THAT FIRE AT %3","%1.1, UHASIT OHEŇ NA POZICI %3","%1.1, DAS FEUER AUF %3 LÖSCHEN","%1.1 ZGASIĆ OGIEŃ PRZY %3","%1.1, погасите огонь в зоне %3!","%1.1, ÉTEIGNEZ CET INCENDIE À %3","%1.1, ENCIENDE ESE FUEGO EN %3","%1.1, ESTINGUERE QUEL FUOCO A %3"
STR_SENT_CMD_OPEN_DOOR_1,"%1.1, OPEN THAT DOOR AT %2 %3","%1.1, OTEVŘÍT DVEŘE U - %2 %3","%1.1, DIE TÜR BEI %2 %3 ÖFFNEN","%1.1 OTWORZYĆ DRZWI W %2 %3","%1.1, откройте дверь в зоне %2 %3!","%1.1, OUVREZ CETTE PORTE À %2 %3","%1.1, ABRE ESA PUERTA EN %2 %3","%1.1, APRIRE QUELLA PORTA A %2"
STR_SENT_CMD_OPEN_DOOR_FAR_1,"%1.1, OPEN THAT DOOR AT %2","%1.1, OTEVŘÍT DVEŘE U - %2","%1.1, DIE TÜR BEI %2 ÖFFNEN","%1.1 OTWORZYĆ DRZWI W %2","%1.1, откройте дверь в зоне %2!","%1.1, OUVREZ CETTE PORTE À %2","%1.1, ABRE ESA PUERTA EN %2","%1.1, APRIRE QUELLA PORTA A %2"
STR_SENT_CMD_OPEN_DOOR_AT_1,"%1.1, OPEN THAT DOOR AT THAT %2 AT %3","%1.1, OTEVŘÍT DVEŘE U - %2 NA POZICI %3","%1.1, DIE TÜR BEI %2 AUF %3 ÖFFNEN","%1.1 OTWORZYĆ DRZWI W TYM %2 %3","%1.1, откройте дверь. %2 в зоне %3!","%1.1, OUVREZ LA PORTE DE CE(TTE) %2 À %3","%1.1, ABRE ESA PUERTA EN %2 EN %3","%1.1, APRIRE LA PORTA DI %2 A %3"
STR_SENT_CMD_CLOSE_DOOR_1,"%1.1, CLOSE THAT DOOR AT %2 %3","%1.1, ZAVŘÍT DVEŘE U - %2 %3","%1.1, DIE TÜR BEI %2 %3 SCHLIESSEN","%1.1 ZAMKNĄĆ DRZWI W %2 %3","%1.1, закройте дверь в зоне %2 %3!","%1.1, FERMEZ CETTE PORTE À %2 %3","%1.1, CIERRA ESA PUERTA EN %2 %3","%1.1, CHIUDERE QUELLA PORTA A %2 %3"
STR_SENT_CMD_CLOSE_DOOR_FAR_1,"%1.1, CLOSE THAT DOOR AT %2","%1.1, ZAVŘÍT DVEŘE U - %2","%1.1, DIE TÜR BEI %2 SCHLIESSEN","%1.1 ZAMKNĄĆ DRZWI W %2","%1.1, закройте дверь в зоне %2!","%1.1, FERMEZ CETTE PORTE À %2","%1.1, CIERRA ESA PUERTA EN %2","%1.1, CHIUDERE QUELLA PORTA A %2"
STR_SENT_CMD_CLOSE_DOOR_AT_1,"%1.1, CLOSE THAT DOOR AT THAT %2 AT %3","%1.1, ZAVŘÍT DVEŘE U - %2 NA POZICI %3","%1.1, DIE TÜR BEI %2 AUF %3 SCHLIESSEN","%1.1 ZAMKNĄĆ DRZWI W TYM %2 %3","%1.1, закройте дверь. %2 в зоне %3!","%1.1, FERMEZ LA PORTE DE CE(TTE) %2 À %3","%1.1, CIERRA ESA PUERTA EN %2 EN %3","%1.1, CHIUDERE LA PORTA DI %2 A %3"
STR_SENT_CMD_ACTION_1,"%1.1, %2 AT %3 %4","%1.1, %2 NA %3 %4","%1.1, %2 BEI %3 %4","%1.1 %2 %3 %4","%1.1, %2 в зоне %3 %4!","%1.1, %2 À %3 %4","%1.1, %2 EN %3 %4","%1.1, %2 A %3 %4"
STR_SENT_CMD_ACTION_FAR_1,"%1.1, %2 AT %3","%1.1, %2 NA %3","%1.1, %2 BEI %3","%1.1 %2 %3","%1.1, %2 в зоне %3!","%1.1, %2 À %3","%1.1, %2 EN %3","%1.1, %2 A %3"
STR_SENT_CMD_ACTION_NEAR_1,"%1.1, %2","%1.1, %2","%1.1, %2","%1.1 %2","%1.1, %2!","%1.1, %2","%1.1, %2","%1.1, %2"
STR_SENT_CMD_ACTION_AT_1,"%1.1, %2 AT THAT %3 AT %4","%1.1, %2 U - %3 NA POZICI %4","%1.1, %2 BEI %3 AUF %4","%1.1 %2 PRZY TYM %3 KOŁO %4","%1.1, %2. %3 в зоне %4!","%1.1, %2 À CE(TTE) %2 À %4","%1.1, %2 EN %3 EN %4","%1.1, %2 PRESSO %3 A %4"
STR_SENT_CMD_FOLLOW_ME_1,"%1.1, RETURN TO FORMATION","%1.1, ZPÁTKY DO FORMACE","%1.1, IN FORMATION ZURÜCKKEHREN","%1.1 WRACAĆ DO SZYKU","%1.1, вернитесь в строй!","%1.1, RETOUR EN FORMATION","%1.1, REGRESA A LA FORMACIÓN","%1.1, RITORNARE IN FORMAZIONE"
STR_SENT_CMD_FOLLOW_ME_2,"%1.1, FALL BACK INTO FORMATION","%1.1, ZPÁTKY DO FORMACE","%1.1, ZURÜCK IN FORMATION BEGEBEN","%1.1 DOŁĄCZYĆ DO SZYKU","%1.1, возвращайтесь в строй!","%1.1, REPRISE DE FORMATION","%1.1, RETROCEDE A LA FORMACIÓN","%1.1, RITIRARSI IN FORMAZIONE"
STR_SENT_CMD_FOLLOW_1,"%1.1, FOLLOW %2.1","%1.1, NÁSLEDUJTE %2.1","%1.1, %2.1 FOLGEN","%1.1 PODĄŻAĆ ZA %2.1","%1.1, проследуйте за: %2.1!","%1.1, SUIVEZ %2.1","%1.1, SIGUE A %2.1","%1.1, SEGUIRE %2.1"
STR_SENT_CMD_ATTACK_1,"%1.1, ATTACK THAT %2","%1.1, ÚTOČIT NA %2","%1.1, %2 ANGREIFEN","%1.1 ZAATAKOWAĆ %2","%1.1, атакуйте цель: %2!","%1.1, ATTAQUEZ CE(TTE) %2","%1.1, ATACA A %2","%1.1, ATTACCARE %2"
STR_SENT_CMD_ATTACK_NO_TARGET_1,"%1.1, ATTACK","%1.1, ÚTOK","%1.1, ANGREIFEN","%1.1 DO ATAKU","%1.1, в атаку!","%1.1, ATTAQUEZ","%1.1, ATACA","%1.1, ATTACCARE"
STR_SENT_CMD_FIRE_1,"%1.1, FIRE AT THAT %2","%1.1, PALTE NA CÍL: %2","%1.1, AUF %2 FEUERN","%1.1 OSTRZELAĆ %2","%1.1, огонь по цели: %2!","%1.1, FEU SUR CE(TTE) %2","%1.1, DISPARA CONTRA %2","%1.1, SPARARE A %2"
STR_SENT_CMD_GETIN_1,"%1.1, GET IN THAT %2","%1.1, NÁSTUP - %2","%1.1, IN %2 EINSTEIGEN","%1.1 WSIADAĆ DO %2","%1.1, забирайтесь в: %2!","%1.1, GRIMPEZ DANS CE(TTE) %2","%1.1, SUBE A %2","%1.1, SALIRE SU %2"
STR_SENT_CMD_GETIN_COMMANDER_1,"%1.1, COMMANDER, GET IN THAT %2","%1.1, POZICE VELITELE, NÁSTUP - %2","%1.1, KOMMANDANT, IN %2 EINSTEIGEN","%1.1 DOWÓDCO, WSIADAĆ DO %2","%1.1, командир, забирайтесь в %2!","%1.1, CHEF DE BORD, GRIMPEZ DANS CE(TTE) %2","%1.1, OFICIAL, SUBE A %2","%1.1, COMANDANTE, SALGA SU %2"
STR_SENT_CMD_GETIN_DRIVER_1,"%1.1, DRIVER, GET IN THAT %2","%1.1, POZICE ŘIDIČE, NÁSTUP - %2","%1.1, FAHRER, IN %2 EINSTEIGEN","%1.1 KIEROWCO, WSIADAĆ DO %2","%1.1, водитель, забирайтесь в: %2!","%1.1, CONDUCTEUR, GRIMPEZ DANS CE(TTE) %2","%1.1, CONDUCTOR, SUBE A %2","%1.1, GUIDATORE, SALI SU %2"
STR_SENT_CMD_GETIN_PILOT_1,"%1.1, PILOT, GET IN THAT %2","%1.1, POZICE PILOTA, NÁSTUP - %2","%1.1, PILOT, IN %2 EINSTEIGEN","%1.1 PILOT, WSIADAĆ DO %2","%1.1, пилот, забирайтесь в: %2!","%1.1, PILOTE, GRIMPEZ DANS CE(TTE) %2","%1.1, PILOTO, SUBE A %2","%1.1, PILOTA, SALI SU %2"
STR_SENT_CMD_GETIN_GUNNER_1,"%1.1, GUNNER, GET IN THAT %2","%1.1, POZICE STŘELCE, NÁSTUP - %2","%1.1, SCHÜTZE, IN %2 EINSTEIGEN","%1.1 STRZELEC, WSIADAĆ DO %2","%1.1, стрелок, забирайтесь в: %2!","%1.1, TIREUR, GRIMPEZ DANS CE(TTE) %2","%1.1, ARTILLERO, SUBE A %2","%1.1, ARTIGLIERE, SALI SU %2"
STR_SENT_CMD_GETIN_CARGO_1,"%1.1, BOARD THAT %2","%1.1, NASTOUPIT - %2","%1.1, IN %2 EINSTEIGEN","%1.1 WEJŚĆ DO %2","%1.1, забирайтесь в: %2!","%1.1, EMBARQUEZ DANS CE(TTE) %2","%1.1, EMBARCA EN %2","%1.1, SALIRE SU %2"
STR_SENT_CMD_GETOUT_1,"%1.1, DISEMBARK","%1.1, VYSTOUPIT","%1.1, VON BORD","%1.1 WYSIADAĆ","%1.1, выгружаемся!","%1.1, DÉBARQUEZ","%1.1, DESEMBARCA","%1.1, SCENDERE"
STR_SENT_CMD_STOP_1,"%1.1, HALT","%1.1, STÁT","%1.1, HALT","%1.1 STAĆ","%1.1, стоять!","%1.1, HALTE","%1.1, ALTO","%1.1, ALT"
STR_SENT_CMD_EXPECT_1,"%1.1, WAIT FOR ME","%1.1, POČKEJTE NA MĚ","%1.1, WARTET AUF MICH","%1.1 ZACZEKAĆ NA MNIE","%1.1, ждите меня!","%1.1, ATTENDEZ-MOI","%1.1, ESPÉRAME","%1.1, ASPETTARMI"
STR_SENT_CMD_HIDE_1,"%1.1, TAKE COVER","%1.1, DO ÚKRYTU","%1.1, DECKUNG!","%1.1 KRYĆ SIĘ","%1.1, прикройте!","%1.1, À COUVERT","%1.1, A CUBIERTO","%1.1, AL RIPARO"
STR_SENT_NOTIFY_ATTACK_1,"ENGAGING","ÚTOČÍM","GREIFEN AN","ATAKUJEMY","Вступаю в бой","ENGAGEMENT","ATACANDO","INGAGGIO EFFETTUATO"
STR_SENT_NOTIFY_SUPPORT_1,"SUPPORTING","PODPORUJI","UNTERSTÜTZEN","WSPIERAMY","Оказываю поддержку","SOUTIEN","APOYANDO","IN SUPPORTO"
STR_SENT_CONFIRM_PRIVATE_1,"ROGER","ROZUMÍM","VERSTANDEN","ZROZUMIAŁEM","Слушаюсь","REÇU","RECIBIDO","RICEVUTO"
STR_SENT_CONFIRM_MOVE_1,"ROGER","PROVEDU","VERSTANDEN","ZROZUMIAŁEM","Слушаюсь","REÇU,","RECIBIDO","RICEVUTO"
